ebint,clust30,clust30a,longitude,latitude,maxdepth,area
10361003.0,23.0,27.0,6.10698492141,60.2616739337,21.9126041023,172681.927259
3303336.0,23.0,24.0,7.89013228246,60.7859806059,14.5039452752,60075.2942024
3551626.0,23.0,27.0,5.71315183956,60.6435945972,17.6350549892,26413.8975264
14141141.0,23.0,24.0,7.4710940678,60.7618138831,17.3047534708,321709.68216
7473874.0,8.0,16.0,9.91883509987,60.9560573608,20.5483601757,123921.992262
15705991.0,29.0,24.0,7.69637809859,60.8912763364,9.01551913809,29986.6360982
13459373.0,21.0,30.0,10.7948658499,61.9801772627,7.98477804463,11125.3330873
14125071.0,8.0,24.0,8.52295874717,61.0837529421,17.0122604465,349372.877667
5082671.0,29.0,21.0,5.8259068215,60.9318694187,31.9042001027,371707.998192
15717998.0,8.0,24.0,9.1257164918,61.0677168093,22.8754690602,627500.526709
316591.0,29.0,21.0,7.92398702629,62.1866897318,20.7438402163,134205.809617
10771493.0,29.0,21.0,5.35130533512,61.2077779626,55.5691695116,1447316.26597
15872919.0,17.0,20.0,13.9255413716,65.6606140098,19.3323682008,738786.819965
4763853.0,27.0,22.0,10.7006738656,62.6488225711,14.3936546296,204011.153365
2234918.0,25.0,5.0,16.4782464595,57.5505791676,19.3222027539,1213289.81577
3588896.0,27.0,22.0,10.1409276312,63.0337158383,11.7700114999,46848.2451285
5377852.0,16.0,5.0,14.4064860834,56.2929830481,17.3633075496,1597286.8396
3239836.0,16.0,5.0,14.6369626581,56.3379462448,12.2654242082,179056.170321
5450515.0,27.0,22.0,9.07677897192,62.2050083085,17.1460037816,200460.007387
5714571.0,7.0,6.0,12.3288572801,63.8921569863,12.7264937583,32310.1754777
10925746.0,29.0,21.0,6.68341158273,62.2157846914,25.5385654827,171412.455262
15929518.0,27.0,22.0,7.12131394977,62.8621315431,10.0003051636,220959.811975
10574212.0,27.0,22.0,10.7940339709,63.0350312065,12.4143171738,71196.2595504
4992586.0,25.0,11.0,16.0103944253,59.0106244383,17.7633845913,10635191.334
2907343.0,7.0,6.0,10.9024527965,64.2781228684,14.7403026575,74780.7432581
2012337.0,5.0,26.0,13.9358488246,66.9394951601,60.9328408177,2047202.11192
9608929.0,4.0,23.0,15.6279432735,67.651414821,16.4638652474,269451.438958
2642042.0,5.0,26.0,13.3826423304,66.7623350117,52.5668112756,662825.95277
4373947.0,5.0,26.0,14.0823022352,66.7977978878,82.7982649689,2066785.81563
3682411.0,14.0,8.0,24.0886328598,69.2769938017,11.1038770111,169682.138082
2381947.0,14.0,8.0,23.1163737814,68.8201146759,10.2855411165,580881.364145
4543911.0,15.0,10.0,19.8454084691,70.100684683,42.6033409893,576373.330246
13857798.0,4.0,23.0,16.0507398293,69.2625962013,14.1664713149,209342.563208
612428.0,14.0,8.0,22.4797313942,68.8096874862,10.6615296921,485232.812923
9787510.0,14.0,8.0,24.4297586085,69.1736752478,7.75040872725,47759.1726248
16529501.0,14.0,9.0,23.9471719268,69.5794618089,10.3982730138,113602.281628
13457165.0,15.0,10.0,21.1742190756,69.4419358106,23.7290032737,993324.580348
15891346.0,1.0,9.0,25.5135432068,69.6320419655,16.7738924452,452554.557482
8585819.0,15.0,10.0,19.5568147817,69.5762171342,34.8988852848,1103071.15258
1011458.0,15.0,10.0,21.4438361606,69.5779472379,17.1716361373,213297.739169
13521093.0,14.0,9.0,24.1147127919,69.476002168,7.97955353499,43595.5973748
12596317.0,14.0,9.0,25.4469640416,69.5168414308,8.80471906454,48756.1306993
14141697.0,1.0,9.0,23.850891318,70.1099338896,9.73097510222,38044.5802314
1399136.0,26.0,15.0,29.0060528528,69.2646025022,15.2474830355,574664.280528
9575471.0,15.0,10.0,19.147798115,69.8425026645,62.9593808479,398361.002424
11988282.0,1.0,1.0,25.0787285048,70.4324032857,15.450879621,437768.678477
10788068.0,1.0,9.0,24.1235831527,69.7720785336,9.96774749311,151076.341033
11010964.0,15.0,10.0,19.3123482212,69.8534262923,16.6329141044,26326.424012
16349734.0,1.0,9.0,25.1135453492,69.7123241563,16.9946063067,151568.293621
7835449.0,1.0,9.0,25.4837516241,69.735619465,12.6933156091,347486.957641
14254087.0,1.0,9.0,24.1958434841,69.7937910837,8.26988862686,169784.108889
16400838.0,26.0,1.0,28.2835328055,70.1172916334,10.1452064565,44925.8073131
15332516.0,15.0,9.0,23.1322594544,69.9245707971,20.1244755243,170482.207123
4849521.0,1.0,9.0,24.5130120182,69.973691822,20.3387204213,684923.809226
3037269.0,26.0,15.0,29.2442280344,69.6327118284,11.2477069273,199966.333308
10943406.0,26.0,15.0,30.1975817789,69.6748225231,17.1998590668,38836.8594269
9497906.0,26.0,15.0,28.8821289955,69.8547749404,9.49026638164,79473.4130253
11260567.0,15.0,9.0,23.0055953958,69.8858089084,24.1588108805,884768.939947
13514327.0,1.0,1.0,28.6800670081,70.7852990637,10.7558744549,78234.5602297
