"ebint","ebhex","depth","area","longitude","latitude","lonCentroid","latCentroid","lonPreData","latPreData","lonField","latField","areaPreData","areaShapefile","secchi","NVEID","NVEREGINE","SMHIID","EUCD","VDRID","COMSATID","name","date","time","altitude","lake_id"
7758579,"0x7662f3",33,2661301,10.782546,59.7843617,10.782546,59.7843617,10.77485,59.7897,10.77485,59.7897,2640000,2661301,3.3,297,"005.4B","","","",170,"Gjersjøen","08.08.2011","14:00",40,NA
14517017,"0xdd8319",14.25,12734192,11.448828,59.6823068,11.448828,59.6823068,11.41303,59.71388,11.4130333333333,59.7138833333333,12660000,12734192,1.1,327,"001.GC","","","",180,"Øgderen","29.07.2011","16:38",133,NA
1992473,"0x1e6719",21,44157204,9.6580049,60.2507096,9.6580049,60.2507096,9.7586,60.13485,9.7586,60.13485,43910000,44157204,2.8,521,"012.CB1","","","",189,"Krøderen","28.07.2011","16:20",133,NA
8515280,"0x81eed0",15,1171606,10.4859377,59.581959,10.4859377,59.581959,10.48715,59.58175,10.48715,59.58175,1160000,1171606,2.1,309,"010.3B","","","",191,"Rødbyvatnet","09.08.2011","15:00",118,NA
7933325,"0x790d8d",NA,NA,10.0539617,60.4782777,10.0539617,60.4782777,10.05836667,60.50398333,NA,NA,37280000,37539916,NA,514,"012.G1","","","",194,"Sperillen",NA,NA,NA,NA
9879973,"0x96c1a5",5.25,4147256,11.9830631,60.6817838,11.9830631,60.6817838,11.99235,60.68167,11.99235,60.6816666666667,3980000,4147256,1.15,239,"002.H1AB","","","",214,"Gjesåssjøen","30.07.2011","11:26",176,NA
3757797,"0x3956e5",105,43869890,11.8492526,61.2253195,11.8492526,61.2253195,11.88767,61.17583,11.8876666666667,61.1758333333333,43640000,43869890,2,162,"002.JBB11","","","",233,"Osensjøen","27.07.2011","16:50",438,NA
12742681,"0xc27019",13.5,3793870,11.4487418,60.787628,11.4487418,60.787628,11.44073,60.78693,11.4407333333333,60.7869333333333,3770000,3793870,1.8,253,"002.DC3CB","","","",236,"Rokossjøen","30.07.2011","13:10",215,NA
3677102,"0x381bae",25.5,6972973,10.7645655,61.0810424,10.7645655,61.0810424,10.80002,61.0764,10.8000166666667,61.0764,6930000,6972973,2,198,"002.DD5D","","","",242,"Sør Mesna","28.07.2011","09:45",522,NA
9561357,"0x91e50d",18,3393881,12.3858709,60.6943741,12.3858709,60.6943741,12.38702,60.69507,12.3870166666667,60.6950666666667,3340000,3393881,1.3,182,"002.GAB0","","","",252,"Vermundsjøen","30.07.2011","15:32",215,NA
4861478,"0x4a2e26",69,2924557,5.852343,60.2562476,5.852343,60.2562476,5.84095,60.26967,5.84095,60.2696666666667,2890000,2924557,12.5,2044,"053.C2B","","","",258,"Gjønvatnet","22.07.2011","10:50",40,NA
4909072,"0x4ae810",64.5,3410744,5.3986027,60.2746548,5.3986027,60.2746548,5.40217,60.27088,5.40216666666667,60.2708833333333,3370000,3410744,3.2,2057,"056.2B","","","",261,"Kalandsvatnet","22.07.2011","14:30",53,NA
16485957,"0xfb8e45",114,1650162,6.4719973,60.8116476,6.4719973,60.8116476,6.47093,60.81172,6.47093333333333,60.8117166666667,1560000,1650162,6,2091,"062.H3","","","",264,"Myrkdalsvatnet","22.07.2011","13:00",229,NA
6508730,"0x6350ba",19.5,4416622,6.6823661,62.5274199,6.6823661,62.5274199,6.63278,62.53333,6.63278333333333,62.5333333333333,4400000,4416622,6,1983,"101.6B","","","",277,"Engsetdalsvatnet","20.07.2011","11:49",43,NA
6883883,"0x690a2b",34.5,1439289,6.11318,62.1400413,6.11318,62.1400413,6.11847,62.14053,6.11846666666667,62.1405333333333,1400000,1439289,5,1941,"094.6B","","","",285,"Rotevatnet","23.07.2011","13:40",47,NA
