,mm,y0,y1,ebint,d0mean,d1mean,d2mean,d3mean,d4mean,d5mean,d6mean,d7mean,d8mean,d9mean,d0std,d1std,d2std,d3std,d4std,d5std,d6std,d7std,d8std,d9std
0,28,2091,2100,794637,19.5328728261,19.4985358696,19.2011108696,18.5860206522,17.6532717391,16.1458369565,14.2031217391,12.3796641304,10.944073913,10.0232413043,2.05010852711,2.0215793239,1.86254968595,1.75820721414,1.90262943193,2.32939794805,2.54423358942,2.32700592986,1.81571941544,1.47733726236
1,27,2061,2070,794637,18.3420956522,18.317876087,18.0801956522,17.5530923913,16.6377641304,15.4461206522,13.8950130435,12.3318619565,11.1039815217,10.2278369565,2.50557328315,2.49765494103,2.46906203325,2.3815029401,2.19398448276,2.21719900978,2.34106193314,2.24723858002,2.05478877937,1.82097741501
2,26,2031,2040,794637,17.5031717391,17.4782956522,17.1812315217,16.4662130435,15.4968065217,14.3954152174,13.073023913,11.7667902174,10.6412304348,9.76724673913,2.79134720943,2.77919204282,2.67111142108,2.44087184477,2.28059749954,2.42323644934,2.52281768123,2.4412686619,2.35750802831,2.11228778267
3,22,2001,2010,794637,16.2186934783,16.1946619565,15.9535032609,15.3754956522,14.596698913,13.6003804348,12.5636554348,11.32885,10.2276576087,9.25667717391,2.3325579363,2.32613242266,2.246734496,2.11678808776,2.17885000855,2.38652949268,2.59560886699,2.54228544745,2.38163043456,2.00188070092
4,28,2091,2100,11524147,17.8662195652,17.7920826087,17.2892641304,16.3880315217,14.8703445652,12.8352282609,10.6932902174,9.23804891304,8.32933586957,7.77575108696,2.24266599852,2.18279069057,1.93494725625,1.74801468985,2.01037636615,2.35638298283,2.1106327436,1.73934006246,1.40693022055,1.23851812187
5,27,2061,2070,11524147,16.6471076087,16.5968630435,16.2321293478,15.3742847826,14.0458119565,12.212848913,10.5460456522,9.28166847826,8.40267065217,7.81116521739,2.57918626748,2.55713345119,2.41605712024,2.11628005221,2.20165450559,2.43228362361,2.25307470971,2.0225428338,1.74294410077,1.52125734137
6,26,2031,2040,11524147,15.4498673913,15.372176087,14.8218858696,13.9008826087,12.7389423913,11.4315978261,10.0362771739,8.94983913043,8.14439782609,7.51759456522,2.96372175145,2.90464349292,2.57121840834,2.38633495769,2.38638783038,2.39647301487,2.33397881949,2.15053066817,1.87832085733,1.54227660665
7,22,2001,2010,11524147,14.231398913,14.170398913,13.663726087,12.8464880435,11.9651228261,10.7922771739,9.70124891304,8.7746,7.99483043478,7.40292717391,2.45315738336,2.40509953658,2.20361847368,2.24208741002,2.40030292047,2.53754707334,2.56132137586,2.40946616946,2.07233396346,1.74504906258
8,28,2091,2100,203955,17.0816869565,17.0387108696,16.680048913,16.0084652174,14.9274695652,13.3993173913,11.8429630435,10.4173565217,9.38803804348,8.73124021739,2.29364549578,2.25630080393,2.10457737282,1.96811213069,2.05907466702,2.46142214997,2.55270388273,2.36918123051,2.07021309918,1.82691731292
9,27,2061,2070,203955,15.6472836957,15.610525,15.2450804348,14.5716423913,13.4929793478,12.3317521739,11.2549054348,10.2051108696,9.50778478261,8.98100108696,2.94322821422,2.93080638731,2.79642361954,2.63075362611,2.58926389156,2.57550591024,2.48790416947,2.247590687,2.13006037233,1.94445999928
10,26,2031,2040,203955,14.309725,14.2526152174,13.7393043478,12.8809173913,11.9776771739,11.0902434783,10.2502934783,9.44939456522,8.74569021739,8.27095217391,3.39157213529,3.359352221,3.08626882371,2.90223821731,2.78236202079,2.74639858183,2.68538559424,2.55470402021,2.3635518298,2.23774096602
11,22,2001,2010,203955,12.9268358696,12.891523913,12.4947293478,11.8948532609,11.3337554348,10.7515413043,10.0938967391,9.43051086957,8.78410217391,8.2786826087,3.0240934314,2.97648383776,2.78160540959,2.65363271511,2.68694229377,2.67083522909,2.73436113475,2.70551207632,2.6029399425,2.50247286259
12,28,2091,2100,12678070,12.07675,11.9769478261,11.5082184783,10.8964141304,10.2308130435,9.47988913043,8.71122826087,7.95898804348,7.33148369565,6.87795434783,3.52100606581,3.31265004218,3.05609677469,2.87219308959,2.84611008496,2.83628605468,2.75127311594,2.59989156191,2.48098538064,2.34545876362
13,27,2061,2070,12678070,9.245725,9.2444576087,8.75949891304,8.24691956522,7.72581304348,7.38500652174,7.08170869565,6.74097934783,6.45995,6.25925326087,4.93664963939,4.5410503313,4.17572503879,3.84964235978,3.53437057634,3.35558406248,3.20594831805,2.99705642688,2.8520489574,2.73068002348
14,26,2031,2040,12678070,6.711525,6.877425,6.63711956522,6.3748173913,6.06057717391,5.73867608696,5.51755978261,5.40261304348,5.32596630435,5.26053695652,4.86741486235,4.54335594985,4.1436742973,3.74701338585,3.3412547187,2.99647786741,2.77604917803,2.65661079056,2.56704344275,2.49115994386
15,22,2001,2010,12678070,5.95597173913,6.19371086957,6.08783695652,5.89434565217,5.66774456522,5.48948043478,5.37683695652,5.28583478261,5.20044130435,5.12722391304,4.58296732202,4.15285559751,3.74362297789,3.3800412895,3.01640431964,2.73855517486,2.55061647833,2.39554491812,2.27679991882,2.17906635773
16,28,2091,2100,13204006,17.9398152174,17.8609576087,17.3337478261,16.1390717391,13.6835,11.0019347826,9.03229130435,7.85659565217,7.16794456522,6.74189130435,2.21711739656,2.15754870512,1.91402102857,1.95703025089,2.54507317215,2.48073897255,1.84666756177,1.34864121502,1.09190633139,0.966577916965
17,27,2061,2070,13204006,16.6040445652,16.5235923913,16.0251967391,14.954398913,13.189875,11.0517880435,9.27501847826,8.06418152174,7.28415543478,6.79329673913,2.82482031614,2.79088685367,2.67709039785,2.2811625438,2.19653018454,2.16657066183,2.02382829054,1.68501189642,1.4290909682,1.24317890374
18,26,2031,2040,13204006,15.5367347826,15.4236391304,14.5890021739,13.2575054348,11.7020869565,10.0983184783,8.76401413043,7.78223152174,7.0483576087,6.60932608696,3.20503444923,3.1428582699,2.81616469411,2.60433870519,2.69059500299,2.52522851629,2.22757366766,1.8512633006,1.39406857347,1.135282132
19,22,2001,2010,13204006,14.0445173913,13.9588097826,13.3219793478,12.3482836957,11.2091293478,9.85708913043,8.53247717391,7.43633152174,6.73833369565,6.22250434783,2.81881116208,2.74481569685,2.52299856243,2.52787481331,2.72488773178,2.6975962747,2.43490980354,2.02200086801,1.64186747644,1.27155380002
20,28,2091,2100,15155354,16.7650271739,16.6732565217,16.140848913,15.0521326087,13.1379945652,11.0238934783,9.26585978261,8.04116630435,7.27206086957,6.78878804348,2.34757378293,2.29322419662,2.05110192206,2.02740338866,2.43132586624,2.49061142983,2.17108376955,1.71147152434,1.34305376969,1.15229451073
21,27,2061,2070,15155354,15.3431282609,15.2554826087,14.7097956522,13.7200184783,12.3380076087,10.9025869565,9.60394130435,8.64088695652,7.860525,7.32922717391,2.95881080479,2.91105620754,2.68870025304,2.46704957262,2.29116801469,2.15176341455,1.94552039938,1.788769609,1.52978858391,1.33921934674
22,26,2031,2040,15155354,14.2003532609,14.0776402174,13.3201771739,12.1042347826,10.9776086957,9.94404565217,8.90287391304,8.03851413043,7.40900543478,6.97419456522,3.41083943222,3.34490818173,3.0056858252,2.7386975744,2.60040503649,2.46634530121,2.18711543683,1.91879222866,1.64913294757,1.43959158992
23,22,2001,2010,15155354,12.7114347826,12.6179043478,12.0101021739,11.240123913,10.4674380435,9.58704456522,8.66904021739,7.82691086957,7.17253804348,6.67176304348,3.01794957202,2.91412698084,2.63554709957,2.48343152846,2.48409689299,2.50037089287,2.48327877074,2.2881255094,2.08190150765,1.88108015712
24,28,2091,2100,11374038,19.1625347826,19.0779,18.4953815217,16.978748913,14.1285978261,11.1660804348,9.18557391304,8.06531195652,7.40220217391,6.99131630435,2.12535100932,2.09956079059,1.95840929351,2.10867502169,2.56429036804,2.20175763849,1.52460429764,1.1403949841,0.985962627554,0.910900603598
25,27,2061,2070,11374038,17.5962586957,17.505698913,16.9341967391,15.6909934783,13.7066119565,11.4222641304,9.68905108696,8.48026195652,7.63209130435,7.12168043478,2.63752936179,2.60188363332,2.4802120029,2.15555664363,2.07169070181,2.25282886242,2.1762603034,1.90963116033,1.54058338594,1.38713970199
26,26,2031,2040,11374038,16.5603565217,16.4435934783,15.603251087,14.2046130435,12.3049956522,10.4040195652,8.95826956522,7.71485108696,6.94865978261,6.51034673913,2.95611650169,2.90412969326,2.69957926698,2.52183675748,2.63504593249,2.55764695944,2.20948587985,1.62192471022,1.27644496137,1.14743339571
27,22,2001,2010,11374038,15.3965913043,15.3038847826,14.6457608696,13.6060282609,12.2559728261,10.6238804348,8.92417391304,7.73215108696,6.9348423913,6.41644130435,2.42972723034,2.37896126961,2.11261780103,2.18061401623,2.555219789,2.67035455639,2.36545088543,2.04770527742,1.63950740039,1.30247460333
28,28,2091,2100,14402111,19.4987521739,19.3761,18.650801087,17.2258380435,14.2767826087,10.7026695652,8.75390869565,7.81134456522,7.27541521739,6.94509673913,2.12239015526,2.06810271106,1.81375765165,1.73387417129,2.35458066761,1.89715101549,1.16044225479,0.935613449247,0.835778648494,0.790280476918
29,27,2061,2070,14402111,18.3339326087,18.2197521739,17.591976087,16.193975,13.4607684783,10.7595347826,8.99420543478,7.88614347826,7.24668804348,6.84960217391,2.58853882046,2.56281073415,2.396532712,2.04133757287,2.27369427061,2.01580092677,1.56150190395,1.17496314718,1.03989222127,0.972309734722
30,26,2031,2040,14402111,17.3524793478,17.2163847826,16.4510173913,15.1112173913,13.2729717391,10.6337271739,8.72874565217,7.63675652174,7.04016521739,6.67427717391,2.76672459201,2.6919120383,2.30236898855,1.97735074589,2.23311965661,2.29419759704,1.80370398147,1.28308500879,1.06032004063,0.974161662587
31,22,2001,2010,14402111,16.2764054348,16.1538086957,15.5545271739,14.4062228261,12.5584478261,10.4900336957,8.7740673913,7.68900434783,7.15969891304,6.82305326087,2.29094102475,2.23994212392,1.91143369994,1.85801403838,2.25297480518,2.19340583963,1.67182677768,1.07182771705,0.94366616439,0.906452973302
32,28,2091,2100,12358203,18.8851347826,18.7923543478,18.3256619565,17.3684815217,15.742948913,13.4038315217,10.9442195652,9.3986576087,8.53944130435,8.00755108696,2.1856497502,2.09984341415,1.87027476695,1.69341054402,2.05718954851,2.3252774332,1.8860316376,1.35296036322,1.12294239101,1.0035128157
33,27,2061,2070,12358203,17.8673217391,17.7882413043,17.2971967391,16.4683771739,15.0378141304,12.7336097826,10.6796380435,9.31917934783,8.42883152174,7.86571413043,2.56029353611,2.5180310123,2.32330932864,1.9891440923,1.85536127112,2.13861418547,1.90094150903,1.55294674487,1.16920950058,1.01319858197
34,26,2031,2040,12358203,17.0195728261,16.9234315217,16.2990402174,15.2724206522,14.0580858696,12.6502315217,10.7038913043,9.08619456522,8.0819076087,7.46440978261,2.78897821804,2.73901535005,2.41122540727,2.03280648858,2.00695700346,2.20480677024,2.10561368575,1.62436611833,1.30971466343,1.10667434166
35,22,2001,2010,12358203,15.7469478261,15.6668206522,15.2035891304,14.3401695652,13.2669380435,12.0348978261,10.4882,9.18306086957,8.22781847826,7.66723586957,2.2978035492,2.23215442156,1.96657234013,1.75930043581,1.97863959692,2.2145004134,2.09338435659,1.74032544347,1.35167327032,1.14677253395
36,28,2091,2100,8857284,17.8190913043,17.7879326087,17.4356847826,16.62885,15.345576087,13.6636836957,11.9279413043,10.6050728261,9.69602282609,9.02619456522,2.29838655059,2.27583602255,2.19035122483,2.41164017154,2.8742069682,3.02577570104,2.94740543781,2.70264190501,2.45551037902,2.1744761715
37,27,2061,2070,8857284,16.3463293478,16.3137141304,15.9334380435,15.2748173913,14.3126847826,13.1280847826,11.8834369565,10.7911934783,9.89191086957,9.27635,3.1134719196,3.09049542141,2.91025134155,2.83457861281,2.77940074419,2.79934103846,2.67134137228,2.50098865621,2.2933116915,2.13472128877
38,26,2031,2040,8857284,14.1980565217,14.190698913,13.7926271739,12.9652228261,12.0490836957,11.0493402174,10.1424086957,9.31909673913,8.59906413043,8.0453173913,4.34497732333,4.27398484337,4.05667024903,3.81713975169,3.65381737871,3.49395048877,3.33596688699,3.08072040145,2.78833669501,2.54793408885
39,22,2001,2010,8857284,12.9970978261,13.0090978261,12.8301913043,12.332898913,11.6424782609,10.7805945652,10.0175304348,9.361575,8.72738913043,8.18950434783,3.70987907601,3.62114046073,3.54499050315,3.39145775912,3.20189893289,3.10685686187,2.96548130791,2.86019324526,2.72680412983,2.52321851525
40,28,2091,2100,13385413,5.77759673913,5.95186413043,5.83768043478,5.71295217391,5.61438913043,5.51210652174,5.43016956522,5.39274130435,5.37301304348,5.31380652174,4.84612981572,4.56855642977,4.23086696832,3.93273699944,3.70559238614,3.50462895476,3.33770576068,3.23946878301,3.16227786075,3.07240579275
41,27,2061,2070,13385413,3.48044021739,3.69072065217,3.71985,3.7137423913,3.7045326087,3.71788369565,3.73175652174,3.73650434783,3.74058152174,3.70666086957,3.9829421749,3.78302355157,3.59069013061,3.3821492867,3.22504900774,3.11616157097,3.01935220038,2.92660010454,2.8462815526,2.72424324942
42,26,2031,2040,13385413,1.32771195652,1.64262282609,1.8115923913,1.9626673913,2.08981847826,2.19344782609,2.27927934783,2.35015869565,2.40230217391,2.4435076087,2.60736697965,2.45858507619,2.36483815736,2.2798841475,2.21023449307,2.15915330438,2.10192857068,2.04235459573,1.9623888437,1.89506100629
