,22,26,27,28,sequence,sequence2
991,4,5,5,5,4555,45
1577,4,5,5,5,4555,45
2489,4,5,5,5,4555,45
3402,5,4,5,4,5454,54
7824,4,5,5,5,4555,45
10695,5,5,5,5,5555,55
10726,4,4,4,4,4444,44
13643,4,5,5,5,4555,45
16273,4,4,4,4,4444,44
17959,5,5,5,5,5555,55
18328,5,5,4,5,5545,55
19428,4,4,4,4,4444,44
21544,4,4,4,7,4447,47
22830,3,3,4,4,3344,34
24539,5,5,5,5,5555,55
24923,5,5,5,5,5555,55
26552,5,5,5,5,5555,55
28543,4,4,4,5,4445,45
29169,5,5,5,5,5555,55
29611,5,5,5,5,5555,55
35354,4,4,4,4,4444,44
37233,3,4,4,4,3444,34
37529,4,5,5,5,4555,45
46498,3,5,4,4,3544,34
49550,5,5,5,5,5555,55
55592,4,4,4,7,4447,47
61698,4,4,5,4,4454,44
64792,5,5,4,4,5544,54
65857,4,4,4,4,4444,44
67016,4,4,4,4,4444,44
68791,5,5,5,5,5555,55
69794,4,4,4,4,4444,44
70884,5,4,5,4,5454,54
71381,5,5,5,5,5555,55
75308,4,4,4,4,4444,44
76608,4,4,4,4,4444,44
77532,4,5,5,5,4555,45
83686,5,4,5,5,5455,55
85460,4,5,4,4,4544,44
86549,5,4,5,5,5455,55
90144,5,4,5,5,5455,55
92012,4,5,5,4,4554,44
95450,5,5,5,5,5555,55
96360,4,4,4,4,4444,44
96509,5,5,5,5,5555,55
97025,5,4,5,5,5455,55
99411,5,5,5,5,5555,55
99612,5,5,5,5,5555,55
100466,5,5,5,5,5555,55
103046,4,5,5,5,4555,45
104113,4,5,5,5,4555,45
106200,5,4,5,5,5455,55
108458,5,4,4,4,5444,54
108696,4,5,5,5,4555,45
110967,5,5,5,4,5554,54
114782,4,4,5,5,4455,45
115404,5,5,5,5,5555,55
116761,3,5,4,4,3544,34
116892,1,3,4,4,1344,14
117602,5,5,5,5,5555,55
119268,5,5,5,5,5555,55
120785,4,4,5,5,4455,45
122518,4,5,4,5,4545,45
122758,4,5,4,4,4544,44
125392,4,4,5,5,4455,45
128036,5,5,5,5,5555,55
129344,5,5,5,5,5555,55
133012,4,4,5,5,4455,45
135315,4,4,4,5,4445,45
136681,4,4,5,5,4455,45
137382,4,4,4,4,4444,44
138598,5,5,5,5,5555,55
143334,5,5,5,5,5555,55
144098,5,4,5,4,5454,54
146801,1,3,4,4,1344,14
148347,5,5,5,5,5555,55
149666,4,4,5,5,4455,45
155497,3,3,4,4,3344,34
159793,4,4,4,5,4445,45
159850,4,5,5,5,4555,45
159895,5,5,5,5,5555,55
161034,4,4,5,4,4454,44
162011,5,4,4,4,5444,54
164137,1,5,5,5,1555,15
164176,4,5,4,5,4545,45
165559,4,4,4,4,4444,44
165810,1,1,1,1,1111,11
168016,4,4,4,4,4444,44
168632,5,4,4,4,5444,54
172006,4,5,5,5,4555,45
177669,4,4,4,5,4445,45
179995,4,5,4,4,4544,44
183992,4,4,4,5,4445,45
184878,1,1,1,4,1114,14
187381,1,1,3,4,1134,14
187459,4,4,4,4,4444,44
