sim_id,y,tsw00,tsw01,tsw02,tsw03,tsw04,tsw05,tsw06,tsw07,tsw08,tsw09,tsw10,tsw11,tsw12,pcd00,pcd01,pcd02,pcd03,pcd04,pcd05,pcd06,pcd07,pcd08,pcd09,pcd10,pcd11,pcd12,pcn00,pcn01,pcn02,pcn03,pcn04,pcn05,pcn06,pcn07,pcn08,pcn09,pcn10,pcn11,pcn12,icend,icemh,icedu,iceon,iceof,iceth,ebint
440136681,4.5,6.414998226,0,0,0,0.099846667,5.458293548,13.33021,15.79278065,15.13686452,13.32488,9.098764516,4.255903333,0.482435484,16.08246611,19,19,19,19,15.45201699,7.291275732,7.942374666,11.34299125,17.96093465,19,19,19,8.533333333,0,0,0,0,8.7,28.6,30.9,29.4,4.8,0,0,0,146.3,0.485,146.3,342,123.1,0,136681
440161034,4.5,5.022455179,0,0,0,0,1.207777419,9.70032,14.02723871,13.27342258,11.35907667,7.600880645,2.92493,0.175816129,48.16233123,61,61,61,61,61,28.02354766,8.858861476,16.60676755,36.71499592,60.74380217,61,61,8.4,0,0,0,0,0,18.1,30.9,29.6,21.8,0.4,0,0,171.2,0.6844,171.2,335.4,141.4,0,161034
440676649,4.5,5.847743486,0,0,0,0.032853333,3.987112903,14.16263,16.0553,14.52140968,12.04666667,7.280083871,1.985526667,0.10133871,15.59094372,19,19,19,19,15.69588992,5.71265216,6.777002998,9.960576883,15.94520263,19,19,19,9.55,0,0,0,0,7.4,29,31,30.9,16.3,0,0,0,167.3,0.6016,167.6,328.3,130.7,0.1,676649
440794637,4.5,7.05184879,0,0,0,0.75545,8.81273871,15.55698667,17.15151613,15.92623226,13.32556333,8.669232258,4.00315,0.421316129,12.81653597,16,16,16,15.85,9.690605558,5.307622473,6.249854472,8.132624147,12.56772498,16,16,16,10.93333333,0,0,0,0.4,16.2,29.8,31,31,22.8,0,0,0,138,0.4328,138,342,114.8,0,794637
441303165,4.5,6.089899821,0,0,0,0.11297,4.812103226,13.19132333,15.52649032,14.45272258,12.53185333,8.375190323,3.773486667,0.302658065,30.91037915,39,39,39,39,33.90284472,9.825995154,9.531527649,15.07202951,29.59215282,39,39,39,9.341666667,0,0,0,0,5,28.2,31,30.9,17,0,0,0,151.9,0.5153,151.9,338.2,124.9,0,1303165
441475261,4.5,6.727454749,0,0,0,1.268896667,8.15266129,15.22807,16.53773871,15.10331935,12.79014,7.974619355,3.37136,0.302651613,19.29227413,25,25,25,24.92333333,15.26201814,6.142003806,7.388735884,10.39563204,17.39556641,25,25,25,10.84166667,0,0,0,0.1,15.2,30,31,31,22.8,0,0,0,135.6,0.4057,135.6,340.7,111.1,0,1475261
441576021,4.5,4.618699704,0,0,0,0,0.831264516,10.67438,14.29853226,12.8966,10.55726333,5.703929032,0.454946667,0.007480645,16.08611463,19,19,19,19,18.49055341,8.559121175,6.462372451,9.912686243,16.60864225,19,19,19,8.125,0,0,0,0,1.2,22,31,30.9,12.4,0,0,0,202,0.754,202.3,309.9,147,0.1,1576021
441882339,4.5,6.725553097,0.222290323,0.308360714,0.810680645,3.836203333,9.674483871,14.71410333,15.12914839,13.72656129,11.27184667,7.021477419,3.186816667,0.804664516,12.69965542,17,17,17,15.86056739,7.487422168,4.461185007,5.192824783,6.816513162,10.88798613,16.6893664,17,17,11.925,0,0,0,2.6,22.3,30,31,31,24.2,2,0,0,89.9,0.2476,105.4,340.6,80.8,1.4,1882339
441992473,4.5,4.652655591,0,0,0,0,0.497932258,8.051453333,13.56781613,12.99294194,10.98276667,7.258764516,2.42516,0.055032258,64.67134102,83,83,83,83,83,49.12207712,8.603985321,18.73707514,38.987192,79.60576261,83,83,8.25,0,0,0,0,0,13.1,30.6,28.3,23.9,3.1,0,0,181.9,0.7692,181.9,332,148.7,0,1992473
442475097,4.5,4.692102814,0,0,0,0,0.935264516,10.43560333,14.08310645,12.95713226,10.89710333,6.15393871,0.83224,0.010845161,18.08727555,21,21,21,21,20.78217729,9.855718626,7.652404175,12.47013006,19.28687639,21,21,21,7.508333333,0,0,0,0,0.4,21.5,31,29.3,7.9,0,0,0,193.6,0.6927,195.7,314.5,145,0.1,2475097
