,y,tsw00,tsw01,tsw02,tsw03,tsw04,tsw05,tsw06,tsw07,tsw08,tsw09,tsw10,tsw11,tsw12,pcd00,pcd01,pcd02,pcd03,pcd04,pcd05,pcd06,pcd07,pcd08,pcd09,pcd10,pcd11,pcd12,pcn00,pcn01,pcn02,pcn03,pcn04,pcn05,pcn06,pcn07,pcn08,pcn09,pcn10,pcn11,pcn12,icend,icemh,icedu,iceon,iceof,iceth,ebint,ebhex,depth,area,longitude,latitude,lonCentroid,latCentroid,lonPreData,latPreData,lonField,latField,areaPreData,areaShapefile,secchi,NVEID,NVEREGINE,SMHIID,EUCD,VDRID,COMSATID,name,date,time,altitude,lake_id
0,4.5,6.4149982258064515,0.0,0.0,0.0,0.09984666666666667,5.458293548387097,13.33021,15.792780645161292,15.136864516129034,13.324879999999999,9.098764516129032,4.255903333333333,0.4824354838709678,16.082466107904487,19.0,19.0,19.0,19.0,15.452016989731732,7.291275732126212,7.9423746662516095,11.342991253583799,17.960934653160507,19.0,19.0,19.0,8.533333333333335,0.0,0.0,0.0,0.0,8.7,28.6,30.9,29.4,4.8,0.0,0.0,0.0,146.3,0.485,146.3,342.0,123.1,0.0,136681.0,0x215e9,15.75,12795527.0,16.359911800000003,60.15056729999999,16.359911800000003,60.15056729999999,16.38945,60.160619999999994,16.38945,60.1606166666667,12740000,12795527,1.9,,,667258-153492,SE667258-153492,672632-158939,3165,Bäsingen,02.08.2011,17:15,67.0,
1,4.5,5.02245517921147,0.0,0.0,0.0,0.0,1.2077774193548387,9.70032,14.02723870967742,13.27342258064516,11.359076666666668,7.600880645161292,2.9249300000000003,0.17581612903225807,48.16233123199127,61.0,61.0,61.0,61.0,61.0,28.02354766494567,8.85886147603648,16.606767550811544,36.714995919982954,60.74380217211855,61.0,61.0,8.4,0.0,0.0,0.0,0.0,0.0,18.1,30.9,29.6,21.8,0.4,0.0,0.0,171.2,0.6843999999999999,171.2,335.4,141.4,0.0,161034.0,0x2750a,30.0,33017033.0,11.0719323,60.3423601,11.0719323,60.3423601,11.04077,60.37648000000001,11.040766666666698,60.376483333333304,32810000,33017033,6.5,141.0,002.DAB1,,,,10000,Hurdalsjøen,12.08.2011,11:05,176.0,
2,4.5,5.8477434856630826,0.0,0.0,0.0,0.03285333333333333,3.987112903225806,14.162629999999998,16.055300000000003,14.521409677419353,12.046666666666663,7.280083870967742,1.9855266666666669,0.10133870967741936,15.590943716186567,19.0,19.0,19.0,19.0,15.69588992099413,5.712652159710332,6.777002997900977,9.960576883465242,15.94520263216811,19.0,19.0,19.0,9.549999999999999,0.0,0.0,0.0,0.0,7.4,29.0,31.0,30.9,16.3,0.0,0.0,0.0,167.3,0.6016,167.6,328.3,130.7,0.1,676649.0,0xa5329,18.15,3030228.0,10.0669184,59.583014500000004,10.0669184,59.583014500000004,10.05265,59.5884,10.05265,59.5884,3010000,3030228,1.05,519.0,012.AC,,,,482,Bergsvannet,09.08.2011,14:00,36.0,
3,4.5,7.05184879032258,0.0,0.0,0.0,0.7554500000000001,8.81273870967742,15.556986666666669,17.151516129032252,15.92623225806452,13.325563333333331,8.669232258064516,4.00315,0.42131612903225807,12.816535968940173,16.0,16.0,16.0,15.85,9.69060555763004,5.307622472636089,6.2498544718213855,8.13262414660662,12.567724978587927,16.0,16.0,16.0,10.933333333333334,0.0,0.0,0.0,0.4,16.2,29.8,31.0,31.0,22.8,0.0,0.0,0.0,138.0,0.4328,138.0,342.0,114.8,0.0,794637.0,0xc200d,21.0,1980891.0,16.2670138,58.953045499999995,16.2670138,58.953045499999995,16.26353,58.9535,16.263533333333303,58.9535,1870000,1980891,1.9,,,653651-152831,SE653651-152831,651426-157020,5000,Forsjösjön,02.08.2011,10:00,27.0,
4,4.5,6.0898998207885295,0.0,0.0,0.0,0.11297000000000001,4.812103225806451,13.191323333333335,15.526490322580646,14.452722580645162,12.531853333333334,8.375190322580647,3.773486666666667,0.30265806451612903,30.910379154197663,39.0,39.0,39.0,39.0,33.902844724706995,9.825995154050974,9.531527648971412,15.072029507376655,29.592152815265973,39.0,39.0,39.0,9.341666666666667,0.0,0.0,0.0,0.0,5.0,28.2,31.0,30.9,17.0,0.0,0.0,0.0,151.9,0.5153000000000001,151.9,338.2,124.9,0.0,1303165.0,0x13e27d,45.0,13735910.0,11.8215526,59.7036198,11.8215526,59.7036198,11.8438,59.701069999999994,11.8438,59.7010666666667,13660000,13735910,3.5,373.0,314.B,,,,363,Rømsjøen,29.07.2011,15:32,138.0,
5,4.5,6.727454749103943,0.0,0.0,0.0,1.2688966666666666,8.15266129032258,15.228070000000002,16.53773870967742,15.103319354838709,12.79014,7.97461935483871,3.37136,0.30265161290322584,19.29227413414251,25.0,25.0,25.0,24.923333333333336,15.262018143762955,6.142003805537067,7.388735884157713,10.395632035077037,17.39556640784197,25.0,25.0,25.0,10.841666666666667,0.0,0.0,0.0,0.1,15.2,30.0,31.0,31.0,22.8,0.0,0.0,0.0,135.6,0.40569999999999995,135.6,340.7,111.1,0.0,1475261.0,0x1682bd,37.5,1768651.0,12.1102334,58.9844652,12.1102334,58.9844652,12.11388,58.97833000000001,12.113883333333302,58.9783333333333,1760000,1768651,2.8,,,654493-128700,SE654493-128700,654498-128696,2678,Torrsjøn,29.07.2011,09:33,102.0,
6,4.5,4.618699704301075,0.0,0.0,0.0,0.0,0.8312645161290323,10.674380000000001,14.298532258064515,12.896600000000001,10.557263333333333,5.703929032258063,0.45494666666666667,0.007480645161290322,16.086114627821082,19.0,19.0,19.0,19.0,18.49055341006442,8.559121175388242,6.462372451076385,9.91268624312541,16.608642254198504,19.0,19.0,19.0,8.125,0.0,0.0,0.0,0.0,1.2,22.0,31.0,30.9,12.4,0.0,0.0,0.0,202.0,0.7539999999999999,202.3,309.9,147.0,0.1,1576021.0,0x180c55,13.5,2756016.0,12.5293123,60.817513,12.5293123,60.817513,12.50752,60.82357,12.507516666666698,60.8235666666667,2740000,2756016,2.0,,,674757-132306,SE674757-132306,673857-130971,2878,Rangsjön,31.07.2011,09:56,490.0,
7,4.5,6.725553097158217,0.22229032258064513,0.30836071428571427,0.8106806451612902,3.8362033333333345,9.674483870967743,14.714103333333332,15.129148387096773,13.726561290322582,11.271846666666667,7.02147741935484,3.186816666666667,0.8046645161290323,12.699655419481873,17.0,17.0,17.0,15.860567385485293,7.487422168074568,4.461185006889583,5.1928247827818215,6.816513161573425,10.887986133638622,16.689366395339164,17.0,17.0,11.925,0.0,0.0,0.0,2.6,22.3,30.0,31.0,31.0,24.2,2.0,0.0,0.0,89.9,0.2476,105.4,340.6,80.8,1.4,1882339.0,0x1cb8e3,48.0,191617.0,5.8469795,58.8593196,5.8469795,58.8593196,5.84783,58.86005,5.84783333333333,58.86005,2830000,191617,3.15,65803.0,029.2B,,,,380,Lutsivatn,21.07.2011,12:45,25.0,
8,4.5,4.652655591397849,0.0,0.0,0.0,0.0,0.4979322580645162,8.051453333333335,13.567816129032257,12.99294193548387,10.982766666666667,7.258764516129032,2.4251600000000004,0.05503225806451613,64.6713410164912,83.0,83.0,83.0,83.0,83.0,49.12207712462215,8.603985320597108,18.737075139198822,38.98719199874235,79.60576261473364,83.0,83.0,8.25,0.0,0.0,0.0,0.0,0.0,13.1,30.6,28.3,23.9,3.1,0.0,0.0,181.9,0.7692000000000001,181.9,332.0,148.7,0.0,1992473.0,0x1e6719,21.0,44157204.0,9.6580049,60.2507096,9.6580049,60.2507096,9.7586,60.13485,9.7586,60.13485,43910000,44157204,2.8,521.0,012.CB1,,,,189,Krøderen,28.07.2011,16:20,133.0,
9,4.5,4.692102813620072,0.0,0.0,0.0,0.0,0.9352645161290323,10.435603333333335,14.083106451612903,12.957132258064513,10.897103333333336,6.153938709677419,0.8322400000000002,0.010845161290322581,18.08727554522453,21.0,21.0,21.0,21.0,20.78217729495015,9.855718625743592,7.6524041753333565,12.470130061435954,19.28687638523127,21.0,21.0,21.0,7.508333333333333,0.0,0.0,0.0,0.0,0.4,21.5,31.0,29.3,7.9,0.0,0.0,0.0,193.6,0.6927,195.7,314.5,145.0,0.1,2475097.0,0x25c459,25.5,4828931.0,10.4349133,60.648478299999994,10.4349133,60.648478299999994,10.43533,60.638830000000006,10.4353333333333,60.6388333333333,4800000,4828931,2.3,606.0,012.EC5B,,,,345,Trevatna,28.07.2011,14:05,384.0,
