ebint,mm,tws02,tws08
991,22,0.0,14.4134838709
991,26,0.0,15.0142580645
991,27,0.0,16.1742903226
991,28,0.0,18.3857258065
1577,22,0.0,9.37317741935
1577,26,0.0,9.99725806452
1577,27,0.0,11.4315
1577,28,0.0,13.5045806451
2489,22,0.0,13.2323870968
2489,26,0.0,14.3304193549
2489,27,0.0,15.8185645161
2489,28,0.0,17.1485483871
3402,22,0.0,15.7921451613
3402,26,0.0,16.8632580645
3402,27,0.0,17.8911290322
3402,28,1.02737931035,19.5770322581
7824,22,0.0,11.6269516129
7824,26,0.0,12.7973709678
7824,27,0.0,14.1821290323
7824,28,0.0,15.9006612903
10695,22,0.0,10.0772580645
10695,26,0.0,10.6442258064
10695,27,0.0,12.364967742
10695,28,0.0,13.7310806451
10726,22,0.0,14.7446612903
10726,26,0.0,15.706951613
10726,27,0.70977955665,16.8852741935
10726,28,2.19176785714,18.7503709678
13643,22,0.0,11.4244354839
13643,26,0.0,12.3952741935
13643,27,0.0,14.0496774194
13643,28,0.0,15.5991612904
16273,22,0.0,12.3308709678
16273,26,0.0,12.4136935484
16273,27,0.0,14.0135
16273,28,0.0389544334975,16.1530322581
17959,22,0.0,11.0954193549
17959,26,0.0,12.0040483871
17959,27,0.0,13.9122741936
17959,28,0.0,15.2211612903
18328,22,0.0,10.5451290322
18328,26,0.0,11.724548387
18328,27,0.0,13.5071129032
18328,28,0.0,14.8041935484
19428,22,0.0,9.0330483871
19428,26,0.0,9.62612903225
19428,27,0.0,11.6427096774
19428,28,0.0,13.2494354839
21544,22,0.0,14.6263064516
21544,26,0.0,15.7255645161
21544,27,0.367977832512,16.7647580645
21544,28,1.90653448276,18.1795806451
22830,22,0.0,0.891596774192
22830,26,0.0,2.18791935484
22830,27,0.0,6.99788709677
22830,28,0.0,9.17409677419
24539,22,0.0,8.86680645162
24539,26,0.0,9.37435483871
24539,27,0.0,11.3183064516
24539,28,0.0,12.8233709678
24923,22,0.0,11.1771774194
24923,26,0.0,12.5149516129
24923,27,0.0,14.0623870968
24923,28,0.0,15.6583709677
26552,22,0.0,12.615516129
26552,26,0.0,14.0305645162
26552,27,0.0,14.8268548387
26552,28,0.0,16.6353709677
28543,22,0.0,9.43906451613
28543,26,0.0,10.0472419355
28543,27,0.0,11.3185483871
28543,28,0.0,12.9397903226
29169,22,0.0,15.7359354839
29169,26,0.0,16.9677096774
29169,27,0.0,17.7619193549
29169,28,0.943493842365,19.4206774193
29611,22,0.0,14.1593387097
29611,26,0.0,15.6289838709
29611,27,0.0,15.7016935484
29611,28,0.0,17.6990161291
35354,22,0.0,15.2988548387
35354,26,0.0,16.3286290322
35354,27,0.31951908867,17.4253709677
35354,28,1.9678497537,18.6877258065
37233,22,0.0,5.91298387097
37233,26,0.0,7.68506451612
37233,27,0.0,9.57066129032
37233,28,0.0,11.626983871
37529,22,0.0,8.28212903226
37529,26,0.0,8.86406451613
37529,27,0.0,10.8328870967
37529,28,0.0,12.7470645162
46498,22,0.0,2.24214516129
46498,26,0.0,7.13469354839
46498,27,0.0,10.4575483871
46498,28,0.0,12.9615161291
49550,22,0.0,12.3088548387
49550,26,0.0,13.8307903226
49550,27,0.0,15.1052903226
49550,28,0.0,16.7564677419
55592,22,0.861839285714,14.4882096774
55592,26,0.74125,15.7671129033
55592,27,1.778625,16.5997741936
55592,28,3.27016071428,17.9993064516
61698,22,0.0,14.8446774194
61698,26,0.0,15.8598709677
61698,27,0.0,17.0539032258
61698,28,0.0,18.6453709678
64792,22,0.0,8.26596774194
64792,26,0.0,8.61979032258
64792,27,0.0,10.2892741935
64792,28,0.0,12.1493225807
65857,22,0.265107142857,14.1592258064
65857,26,0.350017241379,14.9362096774
65857,27,1.14989285714,16.0337096774
65857,28,2.31905357143,17.3906774193
67016,22,0.0,9.8859032258
67016,26,0.0,10.8733548387
67016,27,0.0,13.0423387097
67016,28,0.0,14.7350967742
68791,22,0.0,11.0572903226
68791,26,0.0,12.3126935484
68791,27,0.0,14.0424193549
68791,28,0.0,15.4357741935
69794,22,0.0,10.1016774194
69794,26,0.0,11.2084032258
69794,27,0.0,12.1557903226
69794,28,0.0,13.8864516129
70884,22,0.0,13.6625806451
70884,26,0.0,14.5081935484
70884,27,0.0,16.1027096774
70884,28,0.0,17.1978064516
71381,22,0.0,12.3984516129
71381,26,0.0,13.9378709678
71381,27,0.0,15.1926129032
71381,28,0.0,16.8515161291
75308,22,0.0,8.027
75308,26,0.0,9.49917741936
75308,27,0.0,10.8039354839
75308,28,0.0,12.7936612903
76608,22,0.0,10.3403709678
76608,26,0.0,10.9599354839
76608,27,0.0,12.6257419355
76608,28,0.0,13.976983871
77532,22,0.0,10.9845806452
77532,26,0.0,11.5025483871
77532,27,0.0,13.0360806451
77532,28,0.0,14.7906612903
83686,22,0.0,11.7216612903
83686,26,0.0,12.597016129
83686,27,0.0,14.2299193548
83686,28,0.0,15.5873387097
85460,22,0.0,10.3540806451
85460,26,0.0,10.8093064516
85460,27,0.0,12.4021612904
85460,28,0.0,13.9272903226
86549,22,0.0,6.08869354839
86549,26,0.0,7.85703225806
86549,27,0.0,10.2371774194
86549,28,0.0,12.1630967741
90144,22,0.0,10.9387903226
90144,26,0.0,11.4554193549
90144,27,0.0,13.3846612903
90144,28,0.0,15.1291612903
92012,22,0.0,8.77612903226
92012,26,0.0,9.36485483871
92012,27,0.0,11.0837903226
92012,28,0.0,12.6415806452
95450,22,0.0,12.3782903226
95450,26,0.0,13.1593709677
95450,27,0.0,14.9983870968
95450,28,0.0,16.4775
96360,22,0.0,9.16227419355
96360,26,0.0,10.0254838709
96360,27,0.0,11.0640322581
96360,28,0.0,12.6876935484
96509,22,0.0,12.6104354839
96509,26,0.0,13.5448548387
96509,27,0.0,14.9100483871
96509,28,0.0,16.7243064516
97025,22,0.0,8.98682258065
97025,26,0.0,10.6354516129
97025,27,0.0,11.4831935484
97025,28,0.0,13.2926612904
99411,22,0.0,13.0197419355
99411,26,0.0,13.9001935483
99411,27,0.0,15.2587419355
99411,28,0.0,17.2234516129
99612,22,0.0,15.2415967742
99612,26,0.0,16.1641935484
99612,27,0.0,17.5247741936
99612,28,0.0,18.5868870968
100466,22,0.0,14.4674516129
100466,26,0.0,15.8777096774
100466,27,0.0,16.307
100466,28,0.0,17.6448870967
103046,22,0.0,10.0034032258
