ID,CH4_PHREEQC,logpCH4_PHREEQC
170,0,-70.04
180,0,-66.27
189,0,-61.7
191,0,-68.96
214,0,-65.23
233,0,-60.59
236,0,-62.05
242,0,-61.82
252,0,-58.94
258,0,-59.81
261,0,-63.64
264,0,-58.87
277,0,-63.66
285,0,-62.22
288,0,-61.43
326,0,-67.55
328,0,-65.25
339,0,-65.26
340,0,-64.79
344,0,-66.04
345,0,-59.75
349,0,-63.4
353,0,-65.19
361,0,-64.92
363,0,-63.41
374,0,-63.79
378,0,-65.92
380,0,-66.57
394,0,-68.98
395,0,-64.08
404,0,-58.52
405,0,-60.49
433,0,-62.44
436,0,-62.13
453,0,-61.4
481,0,-64.72
482,0,-80.84
486,0,-65.97
487,0,-63.88
498,0,-65.66
519,0,-73.01
2252,0,-61.36
2268,0,-69.05
2312,0,-65
2374,0,-71.63
2678,0,-66.16
2870,0,-66.65
2872,0,-64.37
2875,0,-64.95
2878,0,-64.48
2887,0,-63.67
2888,0,-52.32
2899,0,-64.92
3017,0,-65.76
3019,0,-67.12
3020,0,-64.44
3025,0,-66.81
3027,0,-66.15
3029,0,-63.55
3031,0,-67.5
3106,0,-66.23
3160,0,-66.26
3165,0,-66.91
3167,0,-67.36
3185,0,-64.14
3189,0,-62.31
3201,0,-63.71
3220,0,-62.18
3384,0,-66.3
3397,0,-66.07
3399,0,-64.13
3516,0,-67.23
3541,0,-65.2
5000,0,-68.73
10000,0,-63.44
10001,0,-66.96
