ID,CH4_PHREEQC,logpCH4_PHREEQC
170,0,-70.31
180,0,-66.03
189,0,-61.33
191,0,-68.5
214,0,-64.78
233,0,-60.15
236,0,-61.65
242,0,-61.46
252,0,-57.72
258,0,-59.58
261,0,-63.46
264,0,-58.37
277,0,-63.35
285,0,-61.91
288,0,-61.13
326,0,-67.82
328,0,-65.19
339,0,-65.06
340,0,-64.7
344,0,-67.56
345,0,-59.26
349,0,-63.09
353,0,-64.99
361,0,-64.76
363,0,-63.22
374,0,-63.59
378,0,-65.99
380,0,-66.39
394,0,-68.17
395,0,-64.18
404,0,-57.87
405,0,-60.17
433,0,-62.2
436,0,-61.85
453,0,-61.1
481,0,-64.39
482,0,-80.89
486,0,-65.64
487,0,-63.63
498,0,-65.6
519,0,-73.37
2252,0,-60.8
2268,0,-69.16
2312,0,-64.77
2374,0,-71.64
2678,0,-66.11
2870,0,-66.72
2872,0,-64.29
2875,0,-64.76
2878,0,-64.2
2887,0,-63.44
2888,0,-51.05
2899,0,-64.66
3017,0,-65.82
3019,0,-66.9
3020,0,-64.26
3025,0,-66.66
3027,0,-66.07
3029,0,-63.13
3031,0,-67.53
3106,0,-65.97
3160,0,-66.02
3165,0,-66.63
3167,0,-67.27
3185,0,-63.74
3189,0,-61.71
3201,0,-63.32
3220,0,-61.93
3384,0,-66.42
3397,0,-66.36
3399,0,-64.09
3516,0,-67.14
3541,0,-65
5000,0,-68.46
10000,0,-63.36
10001,0,-66.83
