ID,CO2_PHREEQC,logpCO2_PHREEQC
170,3.142e-05,-3.1
180,2.815e-05,-3.16
189,2.326e-05,-3.29
191,1.706e-05,-3.38
214,2.449e-05,-3.21
233,1.542e-05,-3.48
236,2.838e-05,-3.17
242,2.229e-05,-3.3
252,6.806e-06,-3.82
258,1.119e-05,-3.62
261,1.834e-05,-3.37
264,1.213e-05,-3.62
277,1.5e-05,-3.44
285,1.988e-05,-3.35
288,1.691e-05,-3.44
326,3.571e-05,-3.08
328,2.688e-05,-3.21
339,4.8e-05,-2.98
340,2.495e-05,-3.25
344,1.802e-05,-3.39
345,2.676e-05,-3.23
349,3.388e-05,-3.13
353,2.08e-05,-3.28
361,2.354e-05,-3.23
363,1.5e-05,-3.43
374,2.24e-05,-3.29
378,2.244e-05,-3.28
380,2.211e-05,-3.28
394,7.868e-06,-3.74
395,2.912e-05,-3.16
404,7.872e-06,-3.84
405,1.332e-05,-3.57
433,1.861e-05,-3.4
436,1.751e-05,-3.42
453,1.579e-05,-3.49
481,4.127e-05,-3.01
482,1.305e-06,-4.49
486,4.485e-05,-2.97
487,2.086e-05,-3.3
498,2.132e-05,-3.26
519,1.739e-05,-3.34
2252,2.385e-05,-3.26
2268,2.333e-05,-3.27
2312,1.856e-05,-3.32
2374,1.451e-05,-3.42
2678,2.131e-05,-3.29
2870,1.442e-05,-3.42
2872,1.79e-05,-3.36
2875,1.815e-05,-3.34
2878,1.894e-05,-3.35
2887,1.582e-05,-3.42
2888,5.337e-06,-3.9
2899,2.197e-05,-3.26
3017,1.657e-05,-3.37
3019,1.634e-05,-3.37
3020,1.626e-05,-3.38
3025,1.504e-05,-3.41
3027,1.421e-05,-3.44
3029,2.312e-05,-3.23
3031,1.781e-05,-3.34
3106,1.637e-05,-3.37
3160,1.549e-05,-3.41
3165,1.809e-05,-3.33
3167,1.637e-05,-3.37
3185,2.112e-05,-3.31
3189,1.496e-05,-3.45
3201,1.507e-05,-3.42
3220,1.824e-05,-3.35
3384,1.531e-05,-3.41
3397,2.266e-05,-3.25
3399,2.283e-05,-3.25
3516,2.343e-05,-3.24
3541,2.005e-05,-3.31
5000,3.667e-05,-3.02
10000,1.735e-05,-3.39
10001,3.345e-05,-3.12
