"","mrros_historical_1961_1990","mrros_rcp45_2071_2100","mrros_rcp85_2071_2100","tas_historical_1961_1990","tas_rcp45_2071_2100","tas_rcp85_2071_2100","pr_historical_1961_1990","pr_rcp45_2071_2100","pr_rcp85_2071_2100"
"1",7.35553080887074e-06,4.70890073495907e-06,3.17172218062338e-06,277.333629895138,279.671084259689,281.18454324414,2.95928383300497e-05,3.0156172119446e-05,3.06470457218095e-05
"2",7.02389428293605e-06,4.42167366494293e-06,2.9702891524714e-06,277.511818410783,279.834757850284,281.335385595701,3.04344230284936e-05,3.0836465378599e-05,3.06868030260607e-05
"3",7.35194255219117e-06,4.72406143890427e-06,3.34637001630984e-06,276.846170515851,279.27641506092,280.813520632324,2.77281208837027e-05,2.83785226880778e-05,2.8912416002729e-05
"4",6.04306440545797e-06,3.4758552793885e-06,2.13880500697666e-06,277.716869255867,280.066243963591,281.584155373229,2.91948559929594e-05,2.97282611441914e-05,2.96369452108049e-05
"5",5.95218650137723e-06,3.34987367023785e-06,1.92981808501957e-06,277.648433210497,280.009313462026,281.537686633831,2.68640208916465e-05,2.75738983121441e-05,2.79707229575234e-05
"6",6.44408113902137e-06,3.82612438060558e-06,2.44008721145972e-06,277.418891431935,279.791785158731,281.323042657851,2.70156602500331e-05,2.78225001341474e-05,2.80037767878519e-05
"7",7.81653440788243e-06,5.03185123261697e-06,3.68535235568302e-06,276.659503611619,279.095773684177,280.629110267496,2.82141983813764e-05,2.88753488548424e-05,2.90592471166547e-05
"8",6.42954459997278e-06,3.77650364894517e-06,2.40573835889298e-06,277.371726958267,279.753260646389,281.288065411016,2.6674141158438e-05,2.75582254014036e-05,2.80807185738708e-05
"9",7.74129388114528e-06,5.12248591556285e-06,3.76445163221196e-06,276.520009748406,278.989695289038,280.535299668137,2.74530627178294e-05,2.81382876579279e-05,2.87452741809835e-05
"10",7.82637012559838e-06,4.92109999783624e-06,3.6552083476096e-06,276.935325315962,279.336461089255,280.863652632121,2.8829909088178e-05,2.91826738754466e-05,2.95970487606455e-05
"11",6.55315594962102e-06,3.81268485908572e-06,2.58196957104112e-06,277.51302023812,279.914843384756,281.441774830259,2.90555580970935e-05,3.00516812795111e-05,3.05360994197965e-05
"12",7.2093095811575e-06,4.88492947874935e-06,3.31506224596616e-06,277.088258217405,279.582566418787,281.136234344826,2.71843480920055e-05,2.80845295005906e-05,2.82020572814181e-05
"13",1.13401020781495e-05,8.80021126717818e-06,7.12214892769075e-06,276.0870405121,278.636579695725,280.220722096541,3.21990878981495e-05,3.36375073601221e-05,3.38135342030344e-05
"14",8.75705880150713e-06,6.23465380916946e-06,5.00900587428465e-06,276.144968086529,278.61123701036,280.148262529307,2.83436134697703e-05,2.90388883933935e-05,3.00058376106206e-05
"15",6.3515650915744e-06,3.49171313224898e-06,2.06517169845334e-06,277.597434306984,279.971334095319,281.494849586347,2.80607763808488e-05,2.84311675208205e-05,2.88511730866423e-05
"16",8.44701839310786e-06,5.69729244784454e-06,4.32497205311688e-06,276.355139935619,278.820131254791,280.355093151704,2.86311603068444e-05,2.92522895186392e-05,2.90645422683252e-05
"17",8.89778271571417e-06,6.39663788749212e-06,5.20803347090108e-06,276.063194329613,278.535298668661,280.074641782021,2.84241665770945e-05,2.91356885421396e-05,2.99284190119433e-05
"18",7.8759741193661e-06,5.79465307790032e-06,4.4500223893277e-06,276.087808224695,278.585535712252,280.153797585227,2.64620337899975e-05,2.74251599441101e-05,2.79564536800598e-05
"19",7.86139892655774e-06,5.51557337319145e-06,4.04969864034902e-06,276.336600732618,278.844397180268,280.412075060966,2.70684397447496e-05,2.77744410921986e-05,2.82128465604824e-05
"20",8.57538363449255e-06,6.18175544852383e-06,4.63781214430311e-06,276.251445355591,278.793779622334,280.382710754519,2.72534295894018e-05,2.82030894617898e-05,2.85816152533334e-05
"21",9.08813970463212e-06,7.30321487126283e-06,5.55132233014067e-06,275.929242746634,278.493171853927,280.090899403731,2.93493356640594e-05,3.10313134021487e-05,3.13564212080333e-05
"22",7.17330863393961e-06,5.14052825446712e-06,3.80121914603748e-06,276.288383791559,278.787278702474,280.360605105504,2.56093706432429e-05,2.65906576626014e-05,2.70845197738471e-05
"23",8.73902376019764e-06,6.79630405121452e-06,5.46947068399087e-06,275.636768914811,278.139185162783,279.704351277121,2.71090798100781e-05,2.81613701242808e-05,2.87605653887954e-05
"24",1.13096316727196e-05,1.0321487407716e-05,8.80195328664629e-06,274.77053235643,277.298981153191,278.906905039109,3.18592000888684e-05,3.35064576882104e-05,3.38608882505278e-05
"25",1.23067775521032e-05,1.11191750515309e-05,9.41848683141471e-06,274.599443721048,277.133400003055,278.728756417994,3.29708709693872e-05,3.46379171863788e-05,3.49408712865989e-05
"26",1.25139558920477e-05,1.14887768316923e-05,9.84294771677698e-06,274.386683178757,276.920946809493,278.519397454763,3.29512490831401e-05,3.45781185835691e-05,3.50890960378299e-05
"27",1.20105453621016e-05,1.09889528695256e-05,9.45835423459674e-06,274.509272641462,277.044638337236,278.649891160131,3.23375523142537e-05,3.39821766710226e-05,3.75219992220314e-05
"28",7.55369446928451e-06,5.26986492142491e-06,3.69100150278373e-06,276.867841724919,279.371176979109,280.932237448033,2.75968324055221e-05,2.84850012119551e-05,2.85797948376206e-05
"29",1.17615664530017e-05,9.57998723755335e-06,7.81793379848118e-06,275.429850882648,277.969286465303,279.542821922238,3.36539974309817e-05,3.51973924826045e-05,3.54619534983785e-05
"30",1.28320003948508e-05,1.07197551818565e-05,9.00899768979025e-06,275.062998998897,277.598022790155,279.164131093915,3.49194019485625e-05,3.64724612720875e-05,3.65345556172216e-05
"31",8.79396238603672e-06,6.64968183326084e-06,5.26329336588285e-06,275.626969457486,278.14907284808,279.7071780403,2.7474674445764e-05,2.80937633873194e-05,2.90193503383088e-05
"32",8.36928774540497e-06,6.0419440074595e-06,4.76870189405671e-06,275.899810941707,278.405489851232,279.957946833669,2.7069594366094e-05,2.75226559550169e-05,2.76523652115693e-05
"33",8.22194314293638e-06,6.01454857143876e-06,4.67948125802783e-06,275.866521959559,278.382606486935,279.94005825437,2.68348385369286e-05,2.73932413307451e-05,2.77800574319722e-05
"34",1.53346123288167e-05,1.44397086577147e-05,1.3261073710274e-05,272.889448648493,275.482534480381,277.067476888454,3.52812618352173e-05,3.74540876781603e-05,3.90218761087807e-05
"35",7.96556659512489e-06,7.57726532417905e-06,6.48358202523797e-06,274.867484257373,277.461088241572,279.121148259946,2.5758106694966e-05,2.78728254121666e-05,2.84215269218689e-05
"36",1.47750945410481e-05,1.38871438382695e-05,1.27276798743652e-05,273.021965786439,275.616729811849,277.205440029451,3.45888767632885e-05,3.67831152533539e-05,3.71536402810822e-05
"37",1.94341823089169e-05,1.83326526466993e-05,1.73682521305084e-05,271.35343761101,273.953988457338,275.514043747095,3.90569306632617e-05,4.06357336435806e-05,4.21795899783507e-05
"38",8.17460788867832e-06,7.61946969632489e-06,6.22229882962137e-06,275.16638755681,277.731916218103,279.395968192815,2.61917994943772e-05,2.76856596522156e-05,2.82385226818838e-05
