"000-000","26.856849670410156250,-4.735467910766601562"
"001-000","26.987329483032226562,-4.297238826751708984"
"002-000","27.115390777587890625,-3.857609033584594727"
"003-000","27.241029739379882812,-3.416603088378906250"
"004-000","27.364229202270507812,-2.974212884902954102"
"005-000","27.484960556030273438,-2.530488967895507812"
"006-000","27.603210449218750000,-2.085448980331420898"
"007-000","27.718980789184570312,-1.639080047607421875"
"008-000","27.832250595092773438,-1.191424965858459473"
"009-000","27.942989349365234375,-0.742511689662933350"
"010-000","28.051210403442382812,-0.292344987392425537"
"011-000","28.156879425048828125,0.159040495753288269"
"012-000","28.259990692138671875,0.611617982387542725"
"013-000","28.360530853271484375,1.065387964248657227"
"014-000","28.458480834960937500,1.520310997962951660"
"015-000","28.553840637207031250,1.976351022720336914"
"016-000","28.646589279174804688,2.433516979217529297"
"017-000","28.736709594726562500,2.891731977462768555"
"018-000","28.824199676513671875,3.351025104522705078"
"019-000","28.909049987792968750,3.811336994171142578"
"020-000","28.991230010986328125,4.272636890411376953"
"021-000","29.070760726928710938,4.734928131103515625"
"022-000","29.147600173950195312,5.198160171508789062"
"023-000","29.221750259399414062,5.662277221679687500"
"024-000","29.293209075927734375,6.127315044403076172"
"025-000","29.361949920654296875,6.593206882476806641"
"026-000","29.427980422973632812,7.059898853302001953"
"027-000","29.491279602050781250,7.527396202087402344"
"028-000","29.551839828491210938,7.995687007904052734"
"029-000","29.609659194946289062,8.464691162109375000"
"030-000","29.664730072021484375,8.934359550476074219"
"031-000","29.717029571533203125,9.404720306396484375"
"032-000","29.766569137573242188,9.875756263732910156"
"033-000","29.813339233398437500,10.347339630126953125"
"034-000","29.857320785522460938,10.819549560546875000"
"035-000","29.898519515991210938,11.292260169982910156"
"036-000","29.936920166015625000,11.765460014343261719"
"037-000","29.972520828247070312,12.239150047302246094"
"038-000","30.005319595336914062,12.713199615478515625"
"039-000","30.035310745239257812,13.187809944152832031"
"040-000","30.062490463256835938,13.662659645080566406"
"041-000","30.086849212646484375,14.137860298156738281"
"042-000","30.108390808105468750,14.613369941711425781"
"043-000","30.127109527587890625,15.089130401611328125"
"044-000","30.142999649047851562,15.565139770507812500"
"045-000","30.156049728393554688,16.041149139404296875"
"046-000","30.166290283203125000,16.517599105834960938"
"047-000","30.173690795898437500,16.994199752807617188"
"048-000","30.178249359130859375,17.470659255981445312"
"049-000","30.179990768432617188,17.951539993286132812"
"050-000","30.178880691528320312,18.422899246215820312"
"051-000","30.174949645996093750,18.900049209594726562"
"052-000","30.168180465698242188,19.376430511474609375"
"053-000","30.158580780029296875,19.852659225463867188"
"054-000","30.146150588989257812,20.328939437866210938"
"055-000","30.130880355834960938,20.804979324340820312"
"056-000","30.112800598144531250,21.280679702758789062"
"057-000","30.091890335083007812,21.756299972534179688"
"058-000","30.068159103393554688,22.231559753417968750"
"059-000","30.041610717773437500,22.706529617309570312"
"060-000","30.012239456176757812,23.181110382080078125"
"061-000","29.980070114135742188,23.655269622802734375"
"062-000","29.945089340209960938,24.129100799560546875"
"063-000","29.907310485839843750,24.602420806884765625"
"064-000","29.866739273071289062,25.075260162353515625"
"065-000","29.823379516601562500,25.547540664672851562"
"066-000","29.777229309082031250,26.019269943237304688"
"067-000","29.728309631347656250,26.490430831909179688"
"068-000","29.676620483398437500,26.960920333862304688"
"069-000","29.622169494628906250,27.430780410766601562"
"070-000","29.564960479736328125,27.899940490722656250"
"071-000","29.505010604858398438,28.368379592895507812"
"072-000","29.442319869995117188,28.836029052734375000"
"073-000","29.376890182495117188,29.302930831909179688"
"074-000","29.308750152587890625,29.768989562988281250"
"075-000","29.237899780273437500,30.234209060668945312"
"076-000","29.164350509643554688,30.698539733886718750"
"077-000","29.088100433349609375,31.162000656127929688"
"078-000","29.009180068969726562,31.624490737915039062"
"079-000","28.927579879760742188,32.085990905761718750"
"080-000","28.843330383300781250,32.546539306640625000"
"081-000","28.756429672241210938,33.006050109863281250"
"082-000","28.666889190673828125,33.464530944824218750"
"083-000","28.574720382690429688,33.921920776367187500"
"084-000","28.479940414428710938,34.378219604492187500"
"000-001","27.273670196533203125,-4.893711090087890625"
"001-001","27.405010223388671875,-4.452775955200195312"
"002-001","27.533929824829101562,-4.010407924652099609"
"003-001","27.660400390625000000,-3.566632986068725586"
"004-001","27.784420013427734375,-3.121468067169189453"
"005-001","27.905960083007812500,-2.674918889999389648"
"006-001","28.025020599365234375,-2.227024078369140625"
"007-001","28.141569137573242188,-1.777796030044555664"
"008-001","28.255599975585937500,-1.327252984046936035"
"009-001","28.367099761962890625,-0.875413894653320312"
"010-001","28.476060867309570312,-0.422294586896896362"
"011-001","28.582450866699218750,0.032049179077148438"
"012-001","28.686279296875000000,0.487634688615798950"
"013-001","28.787509918212890625,0.944425582885742188"
"014-001","28.886140823364257812,1.402392983436584473"
"015-001","28.982170104980468750,1.861505985260009766"
"016-001","29.075559616088867188,2.321753978729248047"
"017-001","29.166320800781250000,2.783113002777099609"
"018-001","29.254430770874023438,3.245526075363159180"
"019-001","29.339870452880859375,3.708986043930053711"
"020-001","29.422639846801757812,4.173488140106201172"
"021-001","29.502719879150390625,4.638973236083984375"
"022-001","29.580110549926757812,5.105413913726806641"
"023-001","29.654790878295898438,5.572790145874023438"
"024-001","29.726760864257812500,6.041090965270996094"
"025-001","29.795999526977539062,6.510258197784423828"
"026-001","29.862499237060546875,6.980235099792480469"
"027-001","29.926259994506835938,7.451070785522460938"
"028-001","29.987260818481445312,7.922664165496826172"
"029-001","30.045490264892578125,8.395014762878417969"
"030-001","30.100950241088867188,8.868061065673828125"
"031-001","30.153640747070312500,9.341835021972656250"
"032-001","30.203540802001953125,9.816235542297363281"
"033-001","30.250650405883789062,10.291230201721191406"
"034-001","30.294950485229492188,10.766819953918457031"
"035-001","30.336450576782226562,11.242970466613769531"
"036-001","30.375129699707031250,11.719619750976562500"
"037-001","30.410989761352539062,12.196769714355468750"
"038-001","30.444030761718750000,12.674349784851074219"
"039-001","30.474250793457031250,13.152319908142089844"
"040-001","30.501619338989257812,13.630720138549804688"
"041-001","30.526159286499023438,14.109419822692871094"
"042-001","30.547859191894531250,14.588379859924316406"
"043-001","30.566719055175781250,15.067620277404785156"
"044-001","30.582719802856445312,15.547120094299316406"
"045-001","30.595880508422851562,16.026720046997070312"
"046-001","30.606180191040039062,16.506559371948242188"
"047-001","30.613639831542968750,16.986640930175781250"
"048-001","30.618240356445312500,17.466609954833984375"
"049-001","30.619979858398437500,17.947660446166992188"
"050-001","30.618869781494140625,18.426580429077148438"
"051-001","30.614910125732421875,18.906549453735351562"
"052-001","30.608089447021484375,19.386489868164062500"
"053-001","30.598419189453125000,19.866340637207031250"
"054-001","30.585899353027343750,20.346189498901367188"
