"","k600eq5JJA","k600eq6JJA"
"id170",3.27433790979883,2.34738793335786
"id180",3.21198827777008,2.23150286643869
"id189",3.26183286030795,2.32572241972086
"id191",3.48605727311059,2.74384862338693
"id194",3.08173786138069,1.98386732464489
"id214",3.24976628116225,2.30228783872307
"id233",3.42392676488514,2.63289026845605
"id236",3.22104796051673,2.24822547370526
"id242",3.16264073364377,2.14011040432377
"id252",3.33905340417562,2.4706292092348
"id258",2.67474106986721,1.20732828938484
"id261",2.77540353190019,1.4009818236201
"id264",2.54417954520477,0.95323346784949
"id277",3.20155499804705,2.20833615060258
"id285",2.98601895152173,1.80114808404706
"id288",2.89632248884103,1.63082511615196
"id326",3.12650268789317,2.06890931576584
"id328",3.35240326839655,2.49467678338704
"id339",3.42502614769115,2.63239815444519
"id340",3.18791604024531,2.1875622979864
"id344",3.16707260182719,2.14801831865686
"id345",3.25805049498913,2.31699021724312
"id349",3.09706680508725,2.01249633387782
"id353",3.65703486161538,3.06591967424951
"id361",3.23706253454876,2.27780000734781
"id363",3.29110025822253,2.38070995814396
"id374",3.93653621944153,3.57551520404704
"id378",3.53394129082115,2.82769779275011
"id380",3.57265513824187,2.89616261046555
"id394",2.95981932869025,1.74959632215715
"id395",3.18217069172514,2.16693171528092
"id404",2.39064906405942,0.654391434033225
"id405",3.06341338628535,1.94642956637674
"id433",2.79626904013115,1.44306790640439
"id436",3.83028624721137,3.3926615264778
"id453",3.29660822066456,2.39375139710383
"id481",3.61328150569477,2.97976122914121
"id482",3.7917478627679,3.31279476965972
"id486",3.56590953182341,2.89276783885593
"id487",4.4615818470477,4.5415906503195
"id498",3.57935524902621,2.92199306904463
"id519",6.39418389193116,8.07279237458004
"id2252",3.28669657819793,2.37213926624059
"id2268",3.26500680670623,2.33232380568412
"id2312",3.50601692127842,2.78357768448898
"id2374",4.58926911387074,4.7955454630792
"id2678",3.51756965751209,2.80685555782515
"id2870",3.44373779937995,2.6690584921561
"id2872",3.4597623417427,2.69692220703049
"id2875",3.34858239305878,2.49123606514521
"id2878",3.24435686161426,2.29338770153588
"id2887",3.26222535414345,2.32620230551839
"id2888",3.2176020754408,2.2429428582922
"id2899",3.29528611788448,2.3882668259578
"id3017",3.47759155765507,2.73307191960481
"id3019",3.49175234729044,2.75809649148156
"id3020",3.451970322288,2.6842475273518
"id3025",3.5458367378764,2.86113264215393
"id3027",3.47064923952427,2.71956265832988
"id3029",3.50268907156139,2.7797507596146
"id3031",3.44107641320643,2.6642905897066
"id3106",3.54764489325975,2.86341117806079
"id3160",3.31368152144542,2.42262826550062
"id3165",3.67227709109101,3.09494805475808
"id3167",3.37538829450291,2.53868309305076
"id3185",3.13669794989442,2.0893567592375
"id3189",3.27533924940457,2.35203008983216
"id3201",3.33044312724576,2.45652926720538
"id3220",3.48170406439179,2.74014655935343
"id3384",3.4392992631252,2.65837187961399
"id3397",3.33907545404065,2.46898145588395
"id3399",3.24266611805033,2.28660265952176
"id3516",3.45947799887368,2.69744222255734
"id3541",3.44502184801412,2.66888325502336
"id5000",3.71257207223434,3.17419344012501
"id10000",3.12884961637719,2.07355690286232
"id10001",3.24566101213535,2.29601570168168
