LakeID,Name,Area(ha),Area,Depth,Secchi
30632,Stora Svansjö,83.8998,838998,14.66666667,11
36959,Långvattnet,135.5488,1355488,41.5,10
37627,Krokvattnet,32.0207,320207,15,10.00123159
31927,Stora Dalsjön,60.5651,605651,29.2,6
13133,Rövattnet,38.1229,381229,8,2
39745,Hasselbacketjärnet,12.4299,124299,19,7.598992358
21405,Ryggen,237.6858,2376858,30,6.6
21425,Gimmen,419.7301,4197301,29,8
17310,Rörsjön,28.7,287000,30,7.541723273
17274,Södra Gussjön,73.5,735000,30,7.521996609
22457,Brossen,195.3503,1953503,29,6.348068
24726,Rämmasjön,131.7545,1317545,20,5.260954
57310,Råssjön,484.5178,4845178,20,5.301286
22498,Acktjärnen,29,290000,11,1
64387,Rörsjön,44.2989,442989,24,6.24209125
89621,Valsjön,919.3593,9193593,72,6.1
681,Degresjön,68.077,680770,7,4.461402
63824,Sällsjön,467.146,4671460,27,4.080278
98201,Gysen,1189.5636,11895636,40,5.2681
31231,Västra Nedsjön,267.0585,2670585,34.55666667,7
31253,Östra Nedsjön,739.7702,7397702,71.66666667,6
67035,Vättern,188597.7434,1885977434,85.66666667,13
68781,Skiren,17.4525,174525,49,11.5
33590,Sommen,13030.1503,130301503,53,10.2
68140,Unden,9289.882,92898820,88.33333333,12
33495,Drögen,885.7798,8857798,36,7
30719,Mycklaflon,1127.1107,11271107,67,10
38225,Lilla Le,83,830000,53,9.3
32570,Ören,900.7164,9007164,39,6
33957,Rödingehultesjön,40.2478,402478,40,9
14559,Yngen,2703.9778,27039778,64.33333333,8
14305,Långban,726.284,7262840,46,6
14984,Trehörningen,406.3605,4063605,41.66666667,7.5
16765,Stor-Ullen,742.1526,7421526,74,7.5
16825,Norra Hörken,1252.8542,12528542,44,5.5
100686,Nässjön,1046.8548,10468548,45,7
57102,Horten,613.3501,6133501,60,7
100287,Alsen,2214,22140000,60,4.896848
93333,Näkten,8308.5649,83085649,47,6.749422
635,Locknesjön,2658.0055,26580055,57.4,10
100187,Näldsjön,4180,41800000,37,4.928492
698,Storsjön,45633.2771,456332771,90,9
817,Ströms Vattudal,14571.4447,145714447,78,5.180502
91582,Hemsjön,688.4458,6884458,37.5,6.66339
894,Flåsjön,11002.8561,110028561,91,5.258588
4479,Malgomaj,10238.7249,102387249,113.5,5
1100,Storuman,17071.8876,170718876,128.75,5.8
254,Orsasjön,5232.1014,52321014,93.66666667,3.6
289,Skattungen,1951.469,19514690,55.25,3.1
17689,Väsman,3910.4562,39104562,54.5,3.9
38399,Skagern,13215.2812,132152812,75.3325,2.7
40081,Stora Gla,3438.8748,34388748,63.875,5.2
56825,Vikarsjön,630.0132,6300132,54.7,3.9
66753,Vänern,565000,5650000000,91.75,2.961818182
99119,Önskasjön,847.6656,8476656,52.4,4.75
