"lake_id","name","ebhex","ebint","area","depth","secchi","longitude","latitude"
30632,"Stora Svansjö","0x4679d1",4618705,838998,14.66666667,11,13.44582702,59.32762435
36959,"Långvattnet","0x7ed153",8311123,1355488,41.5,10,16.50992993,63.16525331
37627,"Krokvattnet","0xbbafc5",12300229,320207,15,10.00123159,16.48613785,63.15749833
31927,"Stora Dalsjön","0xe7d1b9",15192505,605651,29.2,6,13.90714913,61.21402529
13133,"Rövattnet","0x52440d",5391373,381229,8,2,15.17086515,60.22123375
39745,"Hasselbacketjärnet","0x4c8bb0",5016496,124299,19,7.598992358,15.14553835,60.21606512
21405,"Ryggen","0x2fceb6",3133110,2376858,30,6.6,15.54037252,58.01070344
21425,"Gimmen","0x36c71f",3589919,4197301,29,8,16.23806032,58.67426771
17310,"Rörsjön","0x45c08",285704,287000,30,7.541723273,12.37599007,57.52984244
17274,"Södra Gussjön","0x880c06",8915974,735000,30,7.521996609,12.90950129,60.78306895
22457,"Brossen","0x89e0a9",9035945,1953503,29,6.348068,13.11015135,57.71136802
24726,"Rämmasjön","0x3cb7a1",3979169,1317545,20,5.260954,12.00534301,59.64265543
57310,"Råssjön","0xec46dd",15484637,4845178,20,5.301286,12.41739849,59.41726337
22498,"Acktjärnen","0xc1f1ba",12710330,290000,11,1,12.35919898,58.99715043
64387,"Rörsjön","0x6d4b42",7162690,442989,24,6.24209125,11.93082939,58.90575552
89621,"Valsjön","0x13fdf1",1310193,9193593,72,6.1,13.29044754,58.91080902
681,"Degresjön","0x9d9356",10326870,680770,7,4.461402,14.34078796,63.69246977
63824,"Sällsjön","0x1d0b0d",1903373,4671460,27,4.080278,14.15040462,64.04363846
98201,"Gysen","0x860ab",549035,11895636,40,5.2681,18.78713171,63.77135495
31231,"Västra Nedsjön","0xb71506",11998470,2670585,34.55666667,7,16.31847792,63.61610764
31253,"Östra Nedsjön","0xe6e02",945666,7397702,71.66666667,6,14.04060204,63.3588681
67035,"Vättern","0xfd7b78",16612216,1885977434,85.66666667,13,14.2524282,63.38522571
68781,"Skiren","0xa52e8b",10825355,174525,49,11.5,14.3488612,63.13776843
33590,"Sommen","0x7475a3",7632291,130301503,53,10.2,13.70448768,63.20709616
68140,"Unden","0x64f65d",6616669,92898820,88.33333333,12,15.40720433,63.98458114
33495,"Drögen","0x3a255",238165,8857798,36,7,16.77724402,65.23596422
30719,"Mycklaflon","0x6105c8",6358472,11271107,67,10,15.78562457,64.11793253
38225,"Lilla Le","0x87fdad",8912301,830000,53,9.3,16.20600607,64.75672588
32570,"Ören","0x16d1be",1495486,9007164,39,6,15.96943319,60.58408665
33957,"Rödingehultesjön","0xfd0d74",16584052,402478,40,9,15.02228324,61.19300005
14559,"Yngen","0x1905c6",1639878,27039778,64.33333333,8,14.85583565,62.99422312
14305,"Långban","0x508ae4",5278436,7262840,46,6,14.78932736,62.66959513
14984,"Trehörningen","0x6c9ee0",7118560,4063605,41.66666667,7.5,15.64437145,62.7091795
16765,"Stor-Ullen","0x11a5a0",1156512,7421526,74,7.5,13.72105345,62.39314061
16825,"Norra Hörken","0xbc3bb8",12336056,12528542,44,5.5,14.72864804,62.40050605
100686,"Nässjön","0xa4aef3",10792691,10468548,45,7,14.55258302,61.08190226
57102,"Horten","0xea5411",15356945,6133501,60,7,15.1953783,60.81120361
100287,"Alsen","0xc4428b",12862091,22140000,60,4.896848,15.25520088,60.5976487
93333,"Näkten","0xf5f168",16118120,83085649,47,6.749422,14.62904314,62.84199941
635,"Locknesjön","0xe0f0b",921355,26580055,57.4,10,15.25179988,57.57097392
100187,"Näldsjön","0x76c9b3",7784883,41800000,37,4.928492,14.89090623,60.06644978
698,"Storsjön","0x2af5d2",2815442,456332771,90,9,15.07301364,60.1855263
817,"Ströms Vattudal","0x265882",2513026,145714447,78,5.180502,14.57815949,57.97895727
91582,"Hemsjön","0x8a64d2",9069778,6884458,37.5,6.66339,15.51937477,58.10957981
894,"Flåsjön","0x366dea",3567082,110028561,91,5.258588,14.53893254,58.33099611
4479,"Malgomaj","0xab7bf3",11238387,102387249,113.5,5,14.45777393,58.78117597
1100,"Storuman","0xc64c96",12995734,170718876,128.75,5.8,13.78584221,59.98778621
254,"Orsasjön","0x642577",6563191,52321014,93.66666667,3.6,14.28152961,59.8423202
289,"Skattungen","0xd54b8d",13978509,19514690,55.25,3.1,12.70785615,59.88888565
17689,"Väsman","0x2a0665",2754149,39104562,54.5,3.9,14.30572047,59.7325796
38399,"Skagern","0xcbbac4",13351620,132152812,75.3325,2.7,12.46301554,59.49819824
40081,"Stora Gla","0x5f3cd2",6241490,34388748,63.875,5.2,11.47363496,58.83540128
56825,"Vikarsjön","0x63701d",6516765,6300132,54.7,3.9,14.27855292,58.98602567
66753,"Vänern","0x4a8a86",4885126,5.65e+09,91.75,2.961818182,12.51013223,57.73026037
99119,"Önskasjön","0x7b587",505223,8476656,52.4,4.75,15.20088789,58.00620101
