"ebint","ebhex","depth","area","longitude","latitude"
664068,"0xa2204",2.5,60067,13.445827,59.3276244
13419932,"0xccc59c",4.1,165071,19.6529932,63.4446431
1399168,"0x155980",7.6,572001,18.3178568,63.2115376
2082427,"0x1fc67b",5.8,341518,17.2889237,63.3005838
6700528,"0x663df0",3,91432,12.3471169,63.3751959
16109690,"0xf5d07a",2.7,72408,16.096612,63.4858412
13778506,"0xd23e4a",3.2,99777,19.1187858,63.6523232
13682346,"0xd0c6aa",3.2,102366,12.4978011,63.6734208
3681569,"0x382d21",2.6,67985,17.3362187,63.7267984
11236096,"0xab7300",7.5,562918,19.1631339,63.772439
12919650,"0xc52362",3,89907,19.8162408,63.8844993
1128448,"0x113800",2.6,66260,15.0260717,64.0515623
4252664,"0x40e3f8",2.4,56737,17.0177812,64.0528973
10576272,"0xa16190",2.7,73030,14.4443866,64.1290632
4851346,"0x4a0692",5.4,295962,19.9348625,63.6754019
2244128,"0x223e20",5.9,342798,19.8244235,63.6751149
5974536,"0x5b2a08",3.1,96921,18.5518493,63.2181115
687597,"0xa7ded",3.9,155807,17.9617851,63.2225854
518048,"0x7e7a0",2.8,79673,17.9256063,63.2265714
5464328,"0x536108",2.6,69825,17.9464324,63.2194008
1841048,"0x1c1798",4,158810,17.4423104,63.2265101
1736962,"0x1a8102",1.9,35219,16.1446096,63.2364984
10599057,"0xa1ba91",7.3,528227,18.0954251,63.2187803
6739396,"0x66d5c4",3.7,133985,12.9512161,64.0206757
3648977,"0x37add1",9.4,879243,19.3131434,64.1525741
14609314,"0xdeeba2",7.9,617512,20.4680212,64.1418743
1280559,"0x138a2f",4.1,164212,16.7567946,64.2085989
3966557,"0x3c865d",2.9,85417,16.5991295,64.1943838
3430592,"0x3458c0",1.4,18354,19.1271227,64.1646924
12799165,"0xc34cbd",2.4,58787,18.0023615,64.1837515
12460592,"0xbe2230",2,39806,17.9567091,64.1856598
10248256,"0x9c6040",2.3,53599,20.3511911,64.1323028
13343334,"0xcb9a66",8.4,704615,17.8391253,64.2139001
855886,"0xd0f4e",2.7,71610,18.1937889,64.2049514
6512348,"0x635edc",2.1,45697,18.5642934,64.2013959
8577530,"0x82e1fa",7.6,583598,19.0596336,64.1828871
15446664,"0xebb288",7.3,526347,17.1537228,64.201878
3894987,"0x3b6ecb",2,38870,18.1946682,64.1926406
12112975,"0xb8d44f",7.4,544428,19.282026,64.1855134
744922,"0xb5dda",3.9,155694,16.9797809,64.2257665
4174311,"0x3fb1e7",5.6,310045,19.315729,64.1890006
3605806,"0x37052e",2.7,70794,18.1649117,64.2158357
16448623,"0xfafc6f",6,355570,16.888139,64.2263862
961007,"0xea9ef",10.6,1128327,20.43031,63.8567875
15879976,"0xf24f28",3,88636,19.0414787,63.9016632
8446956,"0x80e3ec",3.8,141569,18.420359,63.9141038
899380,"0xdb934",4.5,204351,19.0128358,63.9013923
6154429,"0x5de8bd",7.9,623384,18.6303059,63.9101407
8868616,"0x875308",2.7,70293,12.8150878,63.9073105
1441039,"0x15fd0f",3.2,104304,18.4034435,63.9132799
7203074,"0x6de902",11.2,1253227,17.5233048,63.9254698
12757159,"0xc2a8a7",5.3,285359,18.6061755,63.905816
1940710,"0x1d9ce6",7.4,546318,13.2257161,63.9092859
3280066,"0x320cc2",4.8,234727,19.7778774,64.0001742
507304,"0x7bda8",6.6,434037,16.900338,64.0483917
104693,"0x198f5",3.2,100873,18.6628189,64.0215891
8097998,"0x7b90ce",2.4,60014,16.3503062,64.0481914
14732268,"0xe0cbec",4.1,171957,16.9229652,64.0460226
7001200,"0x6ad470",10.5,1106194,20.6100568,63.9637554
11128066,"0xa9cd02",2.2,49802,19.2667415,63.9762347
6480296,"0x62e1a8",7.1,508999,20.0305582,63.9499768
10479662,"0x9fe82e",5.9,353866,18.6794768,63.9847698
11375425,"0xad9341",12.6,1596250,19.4015258,63.6354888
