"ebint","ebhex","depth","area","longitude","latitude","clust30","clust30a"
2305730,"0x232ec2",5.4,294321,14.5606602,63.6838132,7,6
3066375,"0x2eca07",6,364558,18.4561562,63.6607488,18,4
13970210,"0xd52b22",4.6,207944,15.7467287,63.6899263,7,12
2937581,"0x2cd2ed",15.5,2393267,17.4187946,63.7680867,18,12
10683614,"0xa304de",8.1,661822,13.7132786,63.2218821,21,30
16403041,"0xfa4a61",2.5,64523,12.9521911,64.028981,7,6
1364321,"0x14d161",4.5,200884,20.0046028,64.1497012,18,4
10366009,"0x9e2c39",6.9,472809,17.0689273,64.1940636,18,4
418587,"0x6631b",5.4,289841,17.4628463,64.1920469,18,4
15193752,"0xe7d698",8.2,679094,15.0348234,64.1927599,7,6
2664463,"0x28a80f",8,632983,18.0624802,64.2099039,18,4
6443044,"0x625024",6.2,387685,17.9730347,63.6751267,18,4
13077622,"0xc78c76",16.1,2588705,14.6550723,63.6980353,7,6
16202463,"0xf73adf",11.1,1230755,16.6417763,63.6778673,18,12
11749120,"0xb34700",2.5,61599,15.5653246,63.6542028,7,12
12373285,"0xbccd25",8,646613,17.3805397,63.6498557,18,12
1828173,"0x1be54d",8.9,795070,14.256951,63.8026535,7,6
9192011,"0x8c424b",11.2,1263548,12.5300141,63.7713793,7,6
14883225,"0xe31999",5.7,330133,18.6265806,63.7042925,18,4
12295366,"0xbb9cc6",7.9,619444,13.278936,63.3974071,21,6
10846644,"0xa581b4",10.2,1050171,18.2142958,63.3999264,18,12
5939242,"0x5aa02a",6.5,424764,17.3825904,63.2951296,11,12
7040094,"0x6b6c5e",2.5,64502,14.4042462,63.3024111,7,12
11584813,"0xb0c52d",4.2,174929,15.4148921,64.1822522,7,6
3028813,"0x2e374d",10.4,1088183,16.9258061,64.176678,18,4
9176389,"0x8c0545",4.7,216314,14.9915594,64.1163432,7,6
2399772,"0x249e1c",8.6,741079,14.9427068,64.1000447,7,6
6634578,"0x653c52",3.3,111795,16.9817358,64.1324811,18,4
14912861,"0xe38d5d",3,92197,14.8485574,64.1230184,7,6
255354,"0x3e57a",11,1218488,14.6407313,64.1831509,7,6
13500907,"0xce01eb",8,635206,17.7207372,64.1645695,18,4
11326380,"0xacd3ac",3.9,148254,14.9448025,64.2034134,7,6
16190868,"0xf70d94",3.4,113314,17.4869283,64.1578514,18,4
14598289,"0xdec091",9.9,975698,18.0295721,64.1490389,18,4
13674024,"0xd0a628",2.4,56572,14.2509655,64.2147589,7,6
9928485,"0x977f25",8.9,796787,17.418778,64.2252497,18,4
2015204,"0x1ebfe4",5,249820,14.7713411,64.2095768,7,6
11914627,"0xb5cd83",3.5,121403,16.4005147,63.8826049,18,12
2370243,"0x242ac3",6.3,397137,19.3658664,63.967172,18,4
10953462,"0xa722f6",7.1,505253,13.8999847,63.6078232,7,6
11395849,"0xade309",4,156588,12.3898168,63.5779984,7,6
10015062,"0x98d156",11,1214744,12.6326249,63.7151753,7,6
3679679,"0x3825bf",6.9,472713,18.8613932,63.7531478,18,4
7890306,"0x786582",13.3,1768861,19.0089836,63.3759012,18,4
10007421,"0x98b37d",8.3,691949,17.6472656,64.0285628,18,4
15323752,"0xe9d268",9,817906,16.0616068,64.0867432,18,12
5421911,"0x52bb57",2.7,72583,16.4910528,64.0608264,18,12
14099336,"0xd72388",9.9,990004,14.8526671,64.0796845,7,6
4157135,"0x3f6ecf",8.6,743972,16.9906193,63.9450242,18,12
1229024,"0x12c0e0",2.7,70816,17.8292392,63.9145556,18,4
3817609,"0x3a4089",11.5,1328810,17.43954,63.9505555,18,4
11995241,"0xb70869",1.8,32847,19.0620711,63.992116,18,4
11605629,"0xb1167d",11.6,1355990,14.278051,64.0325849,7,6
4434450,"0x43aa12",3.4,116477,19.2883795,63.9444973,18,4
11586995,"0xb0cdb3",2.7,70666,16.7532778,63.9767806,18,12
13503147,"0xce0aab",4.3,187486,16.2439513,63.9832279,18,12
535541,"0x82bf5",7.9,626424,14.3137093,63.9844629,7,6
11032793,"0xa858d9",6.4,415654,13.5908396,63.9654574,7,6
2384243,"0x246173",9.5,903072,13.7360502,63.9846161,7,6
9798163,"0x958213",4.9,242645,20.4620155,63.7933284,18,4
11881662,"0xb54cbe",3.8,141033,13.4738016,63.9522671,7,6
4078442,"0x3e3b6a",6.8,468882,13.6763501,63.9551258,7,6
5199853,"0x4f57ed",5.7,326415,17.3584443,63.9470875,18,4
16131925,"0xf62755",4.5,204495,16.4281344,63.8589432,18,12
9833065,"0x960a69",3,88154,15.3723955,63.8610589,7,12
7582640,"0x73b3b0",4.9,242737,19.9493569,63.8420582,18,4
12828849,"0xc3c0b1",3.3,106974,13.1263116,63.7760872,7,6
8897527,"0x87c3f7",6.6,435846,19.2991178,63.7579447,18,4
3883724,"0x3b42cc",7,496813,18.3748124,63.7733775,18,4
12922113,"0xc52d01",8.7,751570,14.7771564,63.8483007,7,6
11817887,"0xb4539f",7.5,567270,16.6538642,63.8427386,18,12
13254267,"0xca3e7b",2.3,53156,13.8717009,63.8305996,7,6
