,ID,Lake,Date,Time,Latitude,Longitude,Altitude,Area,NVEID,NVEREGINE,SMHIID,EUCD,VDRID,WindSpeed
0,170,Gjersjøen,2011-08-08,14:00:00,59.7897,10.77485,40.0,2.64,297,005.4B,,,,4.11193609
1,180,Øgderen,2011-07-29,16:38:00,59.71388,11.413030000000001,133.0,12.66,327,001.GC,,,,2.36183095
2,189,Krøderen,2011-07-28,16:20:00,60.13485,9.7586,133.0,43.91,521,012.CB1,,,,1.028373
3,191,Rødbyvatnet,2011-08-09,15:00:00,59.58175,10.48715,118.0,1.16,309,010.3B,,,,2.44667697
4,194,Sperillen,2011-07-28,15:15:00,60.50398333,10.05836667,150.0,37.28,514,012.G1,,,,
5,214,Gjesåssjøen,2011-07-30,11:26:00,60.68167,11.99235,176.0,3.98,239,002.H1AB,,,,2.1475779999999998
6,233,Osensjøen,2011-07-27,16:50:00,61.175830000000005,11.88767,438.0,43.64,162,002.JBB11,,,,0.85259765
7,236,Rokossjøen,2011-07-30,13:10:00,60.786930000000005,11.44073,215.0,3.77,253,002.DC3CB,,,,2.01278043
8,242,Sør Mesna,2011-07-28,09:45:00,61.0764,10.80002,522.0,6.93,198,002.DD5D,,,,1.04329503
9,252,Vermundsjøen,2011-07-30,15:32:00,60.695069999999994,12.38702,215.0,3.34,182,002.GAB0,,,,2.29572129
10,258,Gjønvatnet,2011-07-22,10:50:00,60.26967,5.84095,40.0,2.89,2044,053.C2B,,,,1.93803442
11,261,Kalandsvatnet,2011-07-22,14:30:00,60.270880000000005,5.40217,53.0,3.37,2057,056.2B,,,,3.58049655
12,264,Myrkdalsvatnet,2011-07-22,13:00:00,60.811719999999994,6.47093,229.0,1.56,2091,062.H3,,,,2.64523053
13,277,Engsetdalsvatnet,2011-07-20,11:49:00,62.53333000000001,6.63278,43.0,4.4,1983,101.6B,,,,1.53140795
14,285,Rotevatnet,2011-07-23,13:40:00,62.140530000000005,6.118469999999999,47.0,1.4,1941,094.6B,,,,5.1985898
15,288,Vatnevatnet,2011-07-20,16:56:00,62.15305,6.228619999999999,90.0,2.05,1945,095.D,,,,0.80046248
16,326,Einavatnet,2011-08-10,10:00:00,60.53813,10.652999999999999,398.0,13.74,143,002.DCD11,,,,3.42615438
17,328,Randsfjorden,2011-07-28,11:55:00,60.72303,10.26765,135.0,140.09,523,012.EB10,,,,0.80734128
18,339,Ringsjøen,2011-07-28,10:55:00,60.8824,10.35465,378.0,1.22,197,002.DD2C,,,,1.06653154
19,340,Sæbufjorden,2011-08-16,12:40:00,61.01255,9.215069999999999,379.0,1.53,576,012.LA3,,,,2.37080455
20,344,Strondafjorden,2011-08-16,14:15:00,60.97753,9.24863,355.0,13.36,515,012.L10,,,,2.37080455
21,345,Trevatna,2011-07-28,14:05:00,60.638830000000006,10.43533,384.0,4.8,606,012.EC5B,,,,0.70838958
22,349,Bogstadvannet,2011-08-11,10:25:00,59.97051999999999,10.61845,145.0,1.09,5252,007.A0,,,,2.16504359
23,353,Aspern,2011-07-29,11:53:00,59.147130000000004,11.68437,106.0,6.59,318,001.C31,,,,2.33529043
24,361,Rødenessjøen,2011-07-29,14:20:00,59.531980000000004,11.62597,118.0,15.95,323,001.F11,,,,2.32933092
25,363,Rømsjøen,2011-07-29,15:32:00,59.701069999999994,11.8438,138.0,13.66,373,314.B,,,,2.40571809
26,374,Edlandsvatnet,2011-07-21,11:08:00,58.76263,5.8705,104.0,2.11,1546,028.C1,,,,4.52505922
27,378,Hetlandsvatn,2011-07-21,15:23:00,59.175180000000005,6.10917,48.0,2.06,1859,035.1B,,,,3.82372189
28,380,Lutsivatn,2011-07-21,12:45:00,58.86005,5.84783,25.0,2.83,65803,029.2B,,,,4.85998917
29,394,Vatsvatnet,2011-07-21,17:18:00,59.526669999999996,5.7041699999999995,15.0,2.17,2036,038.5B,,,,4.60580969
30,395,Vostervatnet,2011-07-21,14:02:00,59.09575,5.97535,54.0,2.66,1679,033.1B,,,,4.86577749
31,404,Jølstravatnet,2011-07-23,16:45:00,61.557930000000006,6.40045,207.0,39.25,1734,084.E1,,,,2.44309068
32,405,Oppstrynvatnet,2011-07-23,11:55:00,61.91457,7.07673,29.0,22.97,1802,088.B11,,,,1.63430154
33,433,Bandak,2011-07-27,09:52:00,59.401630000000004,8.23,72.0,26.67,22,016.BD31,,,,1.17087853
34,436,Grungevatnet,2011-07-27,12:49:00,59.70705,7.75917,540.0,1.62,53,016.BEC3,,,,1.54188299
35,453,Vinjevatn,2011-07-27,11:30:00,59.6123,7.85217,466.0,3.23,24,016.BEA3,,,,1.54822052
36,481,Åsrumvatnet,2011-07-26,12:30:00,59.16333,10.05777,7.0,1.14,377,015.AA,,,,2.05740714
37,482,Bergsvannet,2011-08-09,14:00:00,59.5884,10.05265,36.0,3.01,519,012.AC,,,,2.39291406
38,486,Goksjø,2011-07-26,14:05:00,59.1725,10.165,28.0,3.4,378,015.AE,,,,2.05740714
39,487,Hallevatnet,2011-07-26,10:47:00,59.02526999999999,9.90917,48.0,3.66,433,015.5B,,,,3.1473763
40,498,Dagarn,2011-08-05,19:30:00,59.90368,15.702879999999999,130.0,1.67,,,664197-149337,SE664197-149337,664338-149373,2.96942496
41,519,Langen,2011-08-02,13:05:00,59.59112,18.52145,28.0,1.38,,,661084-165433,SE661084-165433,660882-165553,2.64967227
42,2252,Rotnessjøen,2011-07-30,09:59:00,60.4969,12.3412,260.0,1.09,3866,312.2C,,,,2.36173606
43,2268,Mylla,2011-08-10,12:15:00,60.24425,10.59108,496.0,1.69,117,002.CH,,,,3.45119286
44,2312,Femsjøen,2011-07-29,10:55:00,59.13316999999999,11.4707,79.0,10.66,316,001.A7,,,,2.23133874
45,2374,Klämmingen,2011-08-02,11:33:00,59.092,17.29833,9.0,9.99,,,655187-158633,SE655187-158633,653110-160070,2.35232282
46,2678,Torrsjøn,2011-07-29,09:33:00,58.97833000000001,12.11388,102.0,1.76,,,654493-128700,SE654493-128700,654498-128696,2.30508399
47,2870,Visten,2011-08-03,11:05:00,59.62987,13.396770000000002,63.0,32.03,,,661264-136508,SE661264-136508,660509-136871,1.6096678999999998
48,2872,Stora Le,2011-07-29,13:00:00,59.32215,11.794080000000001,103.0,84.88,,,658397-127781,SENO656072-127478,654809-127687,2.38322663
49,2875,Näsrämmen,2011-08-03,14:40:00,60.03386999999999,14.137379999999999,239.0,2.73,,,665698-140769,SE665698-140769,664435-141941,1.70833671
50,2878,Rangsjön,2011-07-31,09:56:00,60.82357,12.50752,490.0,2.74,,,674757-132306,SE674757-132306,673857-130971,1.52308857
51,2887,Tisjön,2011-07-31,10:59:00,60.918780000000005,12.96573,431.0,27.05,,,676158-134299,SE676158-134299,674494-133263,1.69527483
52,2888,Halsjøen,2011-07-30,17:23:00,60.863969999999995,12.3111,299.0,5.18,159,002.GCB,,,,2.36252213
53,2899,Jangen,2011-08-03,12:25:00,60.146280000000004,13.271529999999998,212.0,4.51,,,667351-135645,SE667351-135645,667425-135475,1.7903651000000003
54,3017,Sör-älgen,2011-08-04,09:45:00,59.72432,14.6065,181.0,15.54,,,662130-142921,SE662130-142921,662113-142906,2.16368461
