,default,min_abs_bias,min_rmsd,observation
0.5,17.844,18.115,16.366,14.981
1.5,17.509,17.623,16.054,13.94
2.5,16.908,17.041,15.538,13.751
3.5,16.686,16.512,15.295,13.713
4.5,16.293,15.124,14.894,13.698
5.5,15.495,13.283,14.572,13.685
6.5,13.369,11.929,13.788,13.6
7.5,11.964,10.859,13.058,13.461
8.5,10.903,10.005,12.427,13.369
9.5,10.08,9.318,11.862,13.296
10.5,9.427,8.758,11.356,13.226
11.5,8.9,8.296,10.904,13.166
12.5,8.466,7.912,10.498,13.133
13.5,8.105,7.588,10.133,13.011
14.5,7.801,7.314,9.803,12.558
15.5,7.542,7.078,9.505,11.848
16.5,7.319,6.875,9.235,10.997
17.5,7.125,6.698,8.988,10.156
18.5,6.956,6.533,8.764,9.077
19.5,6.8,6.376,8.559,8.169
20.5,6.652,6.228,8.37,7.473
21.5,6.512,6.089,8.197,6.883
22.5,6.38,5.957,8.038,6.361
23.5,6.255,5.834,7.89,6.121
24.5,6.137,5.719,7.753,6.019
25.5,6.026,5.611,7.625,5.97
26.5,5.922,5.51,7.5,5.912
27.5,5.824,5.416,7.379,5.856
28.5,5.732,5.329,7.262,5.834
29.5,5.646,5.248,7.148,5.827
30.5,5.565,5.174,7.037,5.772
31.5,5.489,5.105,6.931,5.71
32.5,5.419,5.042,6.827,5.66
33.5,5.353,4.983,6.728,5.593
34.5,5.291,4.93,6.631,5.574
35.5,5.234,4.881,6.538,5.534
36.5,5.181,4.836,6.448,5.524
37.5,5.131,4.795,6.362,5.532
38.5,5.084,4.758,6.279,5.533
39.5,5.041,4.725,6.199,5.503
40.5,5.001,4.694,6.122,5.42
41.5,4.964,4.666,6.048,5.382
42.5,4.929,4.641,5.977,5.345
