,default,min_abs_bias,min_rmsd,observation
0.5,22.277,22.053,22.646,21.474
1.5,22.277,22.053,22.646,20.91
2.5,22.138,21.922,22.547,20.547
3.5,21.416,21.336,21.777,20.116
4.5,20.904,20.904,21.035,19.606
5.5,20.572,20.614,20.863,19.211
6.5,20.204,20.358,20.471,18.437
7.5,19.716,20.046,19.886,17.596
8.5,19.268,19.734,19.668,17.044
9.5,18.778,19.443,19.041,16.371
10.5,18.196,19.148,15.231,15.615
11.5,17.548,18.835,13.456,14.859
12.5,16.919,18.502,12.487,13.96
13.5,16.353,18.164,11.922,13.373
14.5,15.864,17.836,11.566,12.574
15.5,15.448,17.528,11.324,11.835
16.5,15.097,17.246,11.151,11.49
17.5,14.8,16.994,11.024,11.231
18.5,14.549,16.771,10.932,11.13
19.5,14.336,16.576,10.862,11.006
20.5,14.157,16.408,10.804,10.885
21.5,14.006,16.265,10.757,10.813
