,default,min_abs_bias,min_rmsd,observation
0.5,20.57,21.327,21.288,22.193
1.5,20.57,21.327,21.288,20.389
2.5,20.57,21.203,21.149,18.954
3.5,20.57,19.754,19.71,18.641
4.5,19.413,19.258,19.175,18.399
5.5,19.159,17.911,17.841,17.461
6.5,18.991,14.375,14.71,15.384
7.5,18.824,12.469,12.827,13.821
8.5,18.603,11.24,11.559,12.82
9.5,18.235,10.32,10.608,11.944
10.5,17.448,9.561,9.839,10.35
11.5,16.499,8.904,9.19,9.377
12.5,15.75,8.327,8.632,8.413
13.5,15.158,7.827,8.151,7.366
14.5,14.686,7.4,7.74,6.832
15.5,14.305,7.042,7.39,6.498
16.5,13.993,6.744,7.094,6.339
17.5,13.735,6.498,6.844,6.185
18.5,13.52,6.295,6.634,6.088
19.5,13.34,6.11,6.455,6.035
20.5,13.189,5.94,6.287,6.001
