name, latitude, longitude, orog
Grunnaai,59.517941,8.688288,580
Hovatn,58.973711,7.788549,690
Eptevatn,58.677,8.042,350
Birtevatn,59.053,7.953,611
Oeljusjoeane,60.948,8.093,1333
Juklevatnet,61.028,8.239,1286
Hoeyvatnet,61.663,8.111,905
Rauddalsvatnet,61.908,7.73,913
Breiddalsvatnet,62.014,7.59,900
Vaester-Raennoebodsjoen,62.334249,16.972703,63
StorvatnetAgdenes,63.599666,9.640665,6
LangtjernNIVA,60.37129,9.728,516
GulsvikIInew,60.383,9.605,142
GulsvikIV,60.3897,9.573,149
NesbyenII,60.5667,9.1333,165
NesbyenSkoglund,60.5685,9.122,167
NesbyenTodokk,60.5672,9.1337,166
OsloBlindern,59.9423,10.72,94
Rygge,59.3787,10.7752,40
RyggeHuggenes,59.398,10.7543,35
Aas,59.6605,10.782,89
AasRustadskogen,59.6667,10.8,120
MjoesaSkreia,60.667,11.083,123
VansjoeStorefjorden,59.39342,10.83656,25
VansjoeVanemfjorden,59.4435,10.75461,25
HoboelelvaKure,59.529395,10.83975,47
COMSAT170,59.7897,10.77485,40
COMSAT180,59.71388,11.41303,133
COMSAT189,60.13485,9.7586,133
COMSAT191,59.58175,10.48715,118
COMSAT194,60.50398333,10.05836667,150
COMSAT214,60.68167,11.99235,176
COMSAT233,61.17583,11.88767,438
COMSAT236,60.78693,11.44073,215
COMSAT242,61.0764,10.80002,522
COMSAT252,60.69507,12.38702,215
COMSAT258,60.26967,5.84095,40
COMSAT261,60.27088,5.40217,53
COMSAT264,60.81172,6.47093,229
COMSAT277,62.53333,6.63278,43
COMSAT285,62.14053,6.11847,47
COMSAT288,62.15305,6.22862,90
COMSAT326,60.53813,10.653,398
COMSAT328,60.72303,10.26765,135
COMSAT339,60.8824,10.35465,378
COMSAT340,61.01255,9.21507,379
COMSAT344,60.97753,9.24863,355
COMSAT345,60.63883,10.43533,384
COMSAT349,59.97052,10.61845,145
COMSAT353,59.14713,11.68437,106
COMSAT361,59.53198,11.62597,118
COMSAT363,59.70107,11.8438,138
COMSAT374,58.76263,5.8705,104
COMSAT378,59.17518,6.10917,48
COMSAT380,58.86005,5.84783,25
COMSAT394,59.52667,5.70417,15
COMSAT395,59.09575,5.97535,54
COMSAT404,61.55793,6.40045,207
COMSAT405,61.91457,7.07673,29
COMSAT433,59.40163,8.23,72
COMSAT436,59.70705,7.75917,540
COMSAT453,59.6123,7.85217,466
COMSAT481,59.16333,10.05777,7
COMSAT482,59.5884,10.05265,36
COMSAT486,59.1725,10.165,28
COMSAT487,59.02527,9.90917,48
COMSAT498,59.90368,15.70288,130
COMSAT519,59.59112,18.52145,28
COMSAT2252,60.4969,12.3412,260
COMSAT2268,60.24425,10.59108,496
COMSAT2312,59.13317,11.4707,79
COMSAT2374,59.092,17.29833,9
COMSAT2678,58.97833,12.11388,102
COMSAT2870,59.62987,13.39677,63
COMSAT2872,59.32215,11.79408,103
COMSAT2875,60.03387,14.13738,239
COMSAT2878,60.82357,12.50752,490
COMSAT2887,60.91878,12.96573,431
COMSAT2888,60.86397,12.3111,299
COMSAT2899,60.14628,13.27153,212
COMSAT3017,59.72432,14.6065,181
COMSAT3019,59.30387,14.53832,88
COMSAT3020,59.8792,14.93423,163
COMSAT3025,59.63177,14.59643,165
COMSAT3027,59.8913,14.48088,206
COMSAT3029,59.87902,14.41998,190
COMSAT3031,59.77375,14.40965,178
COMSAT3106,59.76797,15.95213,92
COMSAT3160,61.19408,14.94515,200
COMSAT3165,60.16062,16.38945,67
COMSAT3167,60.53093,15.67272,107
COMSAT3185,60.87842,13.20813,463
COMSAT3189,60.99265,13.59872,451
COMSAT3201,60.19463,14.00855,291
COMSAT3220,59.98293,15.23042,262
COMSAT3384,60.68212,16.07428,191
COMSAT3397,61.65385,15.75923,355
COMSAT3399,61.57602,15.42448,240
COMSAT3516,62.41027,15.31322,244
COMSAT3541,62.2666,15.97102,357
COMSAT5000,58.9535,16.26353,27
COMSAT10000,60.37648,11.04077,176
COMSAT10001,60.19323,10.71212,234
