fielddate, lakeid, ctd_surface, mylake_surface_field_day, mylake_surface_mean_Jun_2011, mylake_surface_mean_July_2011, mylake_surface_mean_August_2011, mylake_surface_mean_June-August_2011
2011-08-03, 3201, 21.766, 22.035, 17.481, 20.371, 18.758, 18.885
2011-07-22, 258, 15.936, 19.685, 15.828, 19.866, 18.972, 18.248
2011-07-22, 261, 18.199, 19.604, 16.215, 20.040, 18.678, 18.334
2011-08-02, 519, 20.905, 21.786, 17.956, 21.546, 19.900, 19.821
2011-07-29, 2312, 21.268, 21.174, 16.616, 20.626, 19.257, 18.857
2011-07-21, 394, 16.571, 20.055, 17.535, 20.999, 18.833, 19.139
2011-07-21, 395, 18.529, 19.235, 16.415, 20.008, 18.633, 18.373
2011-08-12, 10000, 17.341, 18.878, 15.637, 19.714, 19.044, 18.159
2011-08-12, 10001, 17.448, 18.229, 17.073, 20.039, 18.657, 18.606
2011-08-02, 5000, 23.063, 21.726, 18.566, 21.505, 19.900, 20.006
2011-08-05, 3220, 22.031, 21.257, 17.672, 20.371, 19.058, 19.048
2011-07-20, 277, 7.571, 17.039, 14.068, 16.224, 16.280, 15.540
2011-07-21, 380, 17.831, 18.092, 15.893, 19.077, 17.754, 17.593
2011-07-23, 285, 16.286, 15.730, 14.081, 16.364, 16.398, 15.631
2011-07-27, 453, 13.922, 19.090, 16.051, 19.356, 18.350, 17.939
2011-07-20, 288, 16.990, 17.316, 13.797, 16.250, 16.385, 15.496
2011-08-02, 3106, 22.135, 21.574, 19.800, 21.377, 19.142, 20.110
2011-08-10, 326, 16.980, 17.845, 14.900, 18.495, 17.705, 17.056
2011-08-08, 170, 20.563, 20.897, 18.081, 21.352, 19.692, 19.726
2011-07-31, 3399, 21.089, 21.624, 17.579, 20.657, 19.091, 19.125
2011-08-05, 498, 21.787, 21.423, 19.141, 21.085, 19.077, 19.774
2011-08-11, 349, 15.969, 18.483, 18.927, 21.194, 19.263, 19.804
2011-07-22, 264, 13.995, 19.994, 16.247, 20.268, 18.810, 18.466
