-999	"MyLake model input data time series for Vansjoen, from PGS data, 1984-2000, Last modified 28.02.2005"																
Year	Month	Day	Global_rad (MJ/m2)	Cloud_cov (-)	Air_temp (deg C)	Relat_hum (%)	Air_press (hPa)	Wind_speed (m/s)	Precipitation (mm/day)	Inflow (m3/day)	Inflow_T (deg C)	Inflow_C	Inflow_S (kg/m3)	Inflow_TP (mg/m3)	Inflow_DOP (mg/m3)	Inflow_Chla (mg/m3)	Inflow_DOC (mg/m3)
1984	1	1	NaN	0.375	4.95	64.25	971.4	7.6	0.1	325161.29	3.01	0.5	0.0058	44	7	0.1	3000
1984	1	2	NaN	0.21875	0.95	73.25	977.575	6.95	0	325161.29	2.08	0.5	0.0058	44	7	0.1	3000
1984	1	3	NaN	0.75	2.75	83	960.225	5.65	8.3	325161.29	0.94	0.5	0.0058	44	7	0.1	3000
1984	1	4	NaN	0.21875	-0.925	69.75	975.975	4.2	0.3	325161.29	0.135	0.5	0.0058	44	7	0.1	3000
1984	1	5	NaN	0.5625	-3.025	94.75	995.4	2.15	2	325161.29	0.335	0.5	0.0058	44	7	0.1	3000
1984	1	6	NaN	0.53125	0.925	82.75	988.725	3.475	2.4	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	7	NaN	0.875	1.95	92	981	3.35	9.3	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	8	NaN	0.8125	-3.1	87.75	987.9	7.85	10.1	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	9	NaN	0.0625	-10.225	73.5	1012.775	4.5	0	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	10	NaN	0.84375	-6.625	86	1011.5	5.775	0.1	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	11	NaN	0.86458	2.975	99.5	991.325	6.175	4.5	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	12	NaN	0.91667	3.925	88	974.825	8.125	7.4	325161.29	0.645	0.5	0.0058	44	7	0.1	3000
1984	1	13	NaN	0.84375	1.7	86.25	964.025	8.35	24.4	325161.29	1.445	0.5	0.0058	44	7	0.1	3000
1984	1	14	NaN	0.46875	1.25	59.5	963.9	6.825	1.7	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	15	NaN	0.65625	-2.625	81.25	971.925	2.95	0	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	16	NaN	0.15625	-6.9	93.5	984.6	1.275	0.5	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	17	NaN	0.96875	-3.7	90	974.05	8.625	5.2	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	18	NaN	0.46875	-2.65	58.75	989.175	6.15	0.2	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	19	NaN	0.59375	-12.1	86.25	1001.4	2.425	0.1	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	20	NaN	0.3125	-7.375	69.25	1013.3	3.725	0.2	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	21	NaN	0.09375	-12.975	90	1022.9	2.075	0	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	22	NaN	0.5	-13.85	88	1016.825	3.35	0.4	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	23	NaN	0.5625	-10.45	82.25	1002.8	4.775	0.2	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	24	NaN	0.5625	-13.9	79.25	995.925	4.9	0	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	25	NaN	0.53125	-13.075	74.5	1007.1	5.9	0	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	26	NaN	0.71875	-11.75	79.75	1015.6	3.1	0.3	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	27	NaN	0.96875	-9.375	83	1021.55	4.6	0.2	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	28	NaN	1	-5.775	87.5	1022.875	4.35	3.4	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	29	NaN	1	-3.275	93.5	1018.05	3.225	1.8	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	30	NaN	1	-1.1	94.5	1009.25	3.625	4.3	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	1	31	NaN	1	0.55	98	1000.875	1.95	2.1	325161.29	0	0.5	0.0058	44	7	0.1	3000
1984	2	1	NaN	0.96875	0.425	94.75	999.5	2.725	1.6	130357.14	0.15	0.5	0.0028	52	7	0.1	3000
1984	2	2	NaN	0.96875	0.45	89.5	1002.725	2.85	0.1	130357.14	0.455	0.5	0.0028	52	7	0.1	3000
1984	2	3	NaN	1	0.425	90.75	996.6	3.85	3.1	130357.14	0.65	0.5	0.0028	52	7	0.1	3000
1984	2	4	NaN	0.90625	0.425	99.75	996.9	1.55	2.2	130357.14	0.79	0.5	0.0028	52	7	0.1	3000
1984	2	5	NaN	0.59375	1.525	84.5	985.225	7.825	10.6	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	6	NaN	0.9375	1.125	96.25	978.175	6.425	6.2	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	7	NaN	0.46875	-4	93.25	965.025	2.7	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	8	NaN	0.5625	-8.575	88.75	974.45	2.55	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	9	NaN	0.34375	-6.2	83	1008.25	1.525	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	10	NaN	0.96875	-3.975	97	1020.7	2.025	0.2	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	11	NaN	1	-0.85	100	1029.55	0.775	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	12	NaN	1	-0.25	100	1036.625	4.75	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	13	NaN	1	-2.25	99.75	1032.525	1.8	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	14	NaN	0.875	-4.775	98.25	1032.3	1.4	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	15	NaN	0.53125	-4.45	96.75	1037.1	1.925	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	16	NaN	0.875	-2.875	80	1034.775	2.675	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
1984	2	17	NaN	0.8125	-2.925	71.25	1029.025	4.475	0	130357.14	0	0.5	0.0028	52	7	0.1	3000
