,name,provider_name,eb_int,station_id,n_total,n_depths,n_dates,min_date,max_date,bathymetric_data
0,Harestuvatnet,COMSAT,99411,0,527,527,1,2011-08-12,2011-08-12,0
1,Bogstadvannet,COMSAT,117602,0,318,318,1,2011-08-11,2011-08-11,1
2,Bäsingen,COMSAT,136681,0,415,415,1,2011-08-02,2011-08-02,0
3,Hurdalsjøen,COMSAT,161034,0,994,994,1,2011-08-12,2011-08-12,0
4,Eikeren,NVE,326389,1,1073,164,43,1994-08-24,2014-08-19,0
5,Bergsvannet,COMSAT,676649,0,503,503,1,2011-08-09,2011-08-09,0
6,Forsjösjön,COMSAT,794637,0,685,635,1,2011-08-02,2011-08-02,0
7,Fiskumvatnet,NVE,926812,1,228,107,18,2006-03-20,2014-08-19,0
8,Rømsjøen,COMSAT,1303165,0,772,772,1,2011-07-29,2011-07-29,0
9,Torrsjøn,COMSAT,1475261,0,664,664,1,2011-07-29,2011-07-29,0
10,Rangsjön,COMSAT,1576021,0,315,315,1,2011-07-31,2011-07-31,0
11,Randsfjorden,COMSAT,1688788,0,1282,1282,1,2011-07-28,2011-07-28,0
12,Randsfjorden,NVE,1688788,1,464,205,18,2006-03-23,2014-08-20,0
13,Randsfjorden,NVE,1688788,2,869,283,35,1997-08-28,2014-08-20,0
14,Øyeren,NVE,1859372,1,904,333,41,1994-03-10,2014-08-20,1
15,Krøderen,COMSAT,1992473,0,525,525,1,2011-07-28,2011-07-28,0
16,Krøderen,NVE,1992473,1,416,224,18,2006-03-21,2014-08-14,0
17,Krøderen,NVE,1992473,2,752,302,41,1994-03-02,2014-08-15,0
18,Fjellgardsvatnet,NVE,2001330,1,892,261,36,1995-08-09,2014-08-13,1
19,Øvre Sjodalsvatnet,NVE,2233073,1,722,292,42,1994-03-08,2014-08-14,1
20,Stuorajavre,NVE,2273776,1,505,181,40,1994-08-15,2014-08-22,0
21,Årungen,UMB-Aleksandra,2289199,0,4800,8,600,2008-11-14,2010-07-06,0
