"name","provider","eb_int","n_total","n_depths","n_dates","min_date","max_date","bath_NO","bath_SE","bath_NOSE"
"Harestuvatnet","COMSAT",99411,527,527,1,"2011-08-12","2011-08-12",0,0,0
"Bogstadvannet","COMSAT",117602,318,318,1,"2011-08-11","2011-08-11",1,0,1
"Bäsingen","COMSAT",136681,415,415,1,"2011-08-02","2011-08-02",0,0,0
"Hurdalsjøen","COMSAT",161034,994,994,1,"2011-08-12","2011-08-12",0,0,0
"Bergsvannet","COMSAT",676649,503,503,1,"2011-08-09","2011-08-09",0,0,0
"Forsjösjön","COMSAT",794637,685,635,1,"2011-08-02","2011-08-02",0,0,0
"Rømsjøen","COMSAT",1303165,772,772,1,"2011-07-29","2011-07-29",0,0,0
"Torrsjøn","COMSAT",1475261,664,664,1,"2011-07-29","2011-07-29",0,0,0
"Rangsjön","COMSAT",1576021,315,315,1,"2011-07-31","2011-07-31",0,0,0
"Randsfjorden","COMSAT",1688788,1282,1282,1,"2011-07-28","2011-07-28",0,0,0
"Krøderen","COMSAT",1992473,525,525,1,"2011-07-28","2011-07-28",0,0,0
"Årungen","UMB-Aleksandra",2289199,4800,8,600,"2008-11-14","2010-07-06",0,0,0
"Trevatna","COMSAT",2475097,440,440,1,"2011-07-28","2011-07-28",0,0,0
"Sör-älgen","COMSAT",2547359,814,814,1,"2011-08-04","2011-08-04",0,0,0
"Stornaggen","COMSAT",2684521,204,204,1,"2011-08-01","2011-08-01",0,0,0
"Möckeln","COMSAT",2726038,579,579,1,"2011-08-03","2011-08-03",0,0,0
"Jangen","COMSAT",3157480,240,240,1,"2011-08-03","2011-08-03",0,0,0
"Stortvatnet","NINA",3321102,630,2,315,"2008-06-12","2009-04-22",0,0,0
"Ringsjøen","COMSAT",3360272,535,535,1,"2011-07-28","2011-07-28",1,0,1
"Vatsvatnet","COMSAT",3447463,753,753,1,"2011-07-21","2011-07-21",0,0,0
"Sør Mesna","COMSAT",3677102,545,545,1,"2011-07-28","2011-07-28",0,0,0
"Jølstravatnet","COMSAT",3710581,979,979,1,"2011-07-23","2011-07-23",0,0,0
"Osensjøen","COMSAT",3757797,1195,1195,1,"2011-07-27","2011-07-27",1,0,1
"Strondafjorden","COMSAT",3786399,1050,1050,1,"2011-08-16","2011-08-16",0,0,0
"Stora Korslängen","COMSAT",3851794,392,392,1,"2011-08-05","2011-08-05",0,0,0
"Oppstrynvatnet","COMSAT",4033735,1778,1778,1,"2011-07-23","2011-07-23",1,0,1
"Ljusnaren","COMSAT",4089598,436,436,1,"2011-08-05","2011-08-05",0,0,0
"Rødenessjøen","COMSAT",4353283,568,568,1,"2011-07-29","2011-07-29",1,0,1
"Dragsjön","COMSAT",4455750,65,65,1,"2011-07-31","2011-07-31",0,0,0
"Milsjön","COMSAT",4538181,522,522,1,"2011-08-03","2011-08-03",0,0,0
"Långbjörken","COMSAT",4764043,126,126,1,"2011-08-02","2011-08-02",0,0,0
"Saxen","COMSAT",4834503,480,480,1,"2011-08-04","2011-08-04",0,0,0
"Gjønvatnet","COMSAT",4861478,1261,1261,1,"2011-07-22","2011-07-22",1,0,1
"Kalandsvatnet","COMSAT",4909072,1286,1286,1,"2011-07-22","2011-07-22",0,0,0
"Mylla","COMSAT",5534548,1225,1225,1,"2011-08-10","2011-08-10",0,0,0
"Vinjevatn","COMSAT",6395350,1024,1024,1,"2011-07-27","2011-07-27",1,0,1
"Halvarsnoren","COMSAT",6409213,557,557,1,"2011-08-04","2011-08-04",0,0,0
"Näsrämmen","COMSAT",6476501,330,330,1,"2011-08-03","2011-08-03",0,0,0
"Engsetdalsvatnet","COMSAT",6508730,139,135,1,"2011-07-20","2011-07-20",0,0,0
"Holmsjön","COMSAT",6808554,273,273,1,"2011-08-01","2011-08-01",0,0,0
"Rotevatnet","COMSAT",6883883,578,578,1,"2011-07-23","2011-07-23",0,0,0
"Sjysjøen","NINA",7053515,98,1,98,"2008-06-29","2008-10-04",0,0,0
"Stora Le","COMSAT",7449222,1150,1150,1,"2011-07-29","2011-07-29",0,0,0
"Aspern","COMSAT",7514322,565,565,1,"2011-07-29","2011-07-29",0,0,0
"Gjersjøen","COMSAT",7758579,772,771,1,"2011-08-08","2011-08-08",1,0,1
"Örlingen","COMSAT",8154555,287,287,1,"2011-08-04","2011-08-04",0,0,0
"Gjøvatnet","NINA",8340336,199,1,199,"2008-10-07","2009-04-23",0,0,0
"Langtjern","NIVA",8365569,10791,8,1385,"2010-05-26","2014-03-10",0,0,0
"Atnsjøen","NINA",8376627,1923,12,263,"1989-05-30","2011-10-12",0,0,0
"Grycken","COMSAT",8403543,381,381,1,"2011-07-31","2011-07-31",0,0,0
"Rødbyvatnet","COMSAT",8515280,531,531,1,"2011-08-09","2011-08-09",1,0,1
"Visten","COMSAT",8725679,506,436,1,"2011-08-03","2011-08-03",0,0,0
"Halsjøen","COMSAT",9189278,330,330,1,"2011-07-30","2011-07-30",0,0,0
"Tisjön","COMSAT",9420448,556,556,1,"2011-07-31","2011-07-31",0,0,0
"Vostervatnet","COMSAT",9455305,1690,1690,1,"2011-07-21","2011-07-21",0,0,0
"Edlandsvatnet","COMSAT",9491003,434,434,1,"2011-07-21","2011-07-21",0,0,0
"Vermundsjøen","COMSAT",9561357,491,491,1,"2011-07-30","2011-07-30",0,0,0
"Langvatnet","NINA",9581011,99,1,99,"2008-06-28","2008-10-04",0,0,0
"Gjesåssjøen","COMSAT",9879973,155,155,1,"2011-07-30","2011-07-30",0,0,0
"Hetlandsvatn","COMSAT",9926876,1363,1362,1,"2011-07-21","2011-07-21",0,0,0
"Storsjön","COMSAT",10219952,256,256,1,"2011-08-01","2011-08-01",0,0,0
"Klämmingen","COMSAT",10563534,936,875,1,"2011-08-02","2011-08-02",0,0,0
"Goksjø","COMSAT",10853722,403,403,1,"2011-07-26","2011-07-26",0,0,0
"Vansjø","EUTROPIA-Koji",11110535,816,8,102,"2010-05-11","2010-08-20",1,0,1
"Rotnessjøen","COMSAT",11524147,783,783,1,"2011-07-30","2011-07-30",0,0,0
"Grungevatnet","COMSAT",11638293,963,963,1,"2011-07-27","2011-07-27",0,0,0
"Hallevatnet","COMSAT",12413109,979,979,1,"2011-07-26","2011-07-26",0,0,0
"Femsjøen","COMSAT",12521190,499,499,1,"2011-07-29","2011-07-29",1,0,1
"Rokossjøen","COMSAT",12742681,355,355,1,"2011-07-30","2011-07-30",0,0,0
"Søvatn","NINA",13371919,433,2,316,"2008-06-12","2009-04-23",0,0,0
"Tisken","COMSAT",13874290,261,261,1,"2011-08-01","2011-08-01",0,0,0
"Langen","COMSAT",13946620,603,560,1,"2011-08-02","2011-08-02",0,0,0
"Skattungen","COMSAT",13978509,496,496,1,"2011-07-31","2011-07-31",0,0,0
"Hinsen","COMSAT",14188433,261,261,1,"2011-08-01","2011-08-01",0,0,0
