"lakenames","model2a","model2b","model3b","maximumdepth","meandepthbyDM","volumebyDM","surfacearea","perimeterfromshp"
"SW0-0001",-0.0582884076991776,2.68232469069622,2.78041173905936,45,11.8835150428143,100616447.303246,8466892.7451804,51315.7
"SW0-0039",-0.04454934035892,1.22975302643878,1.32341286851121,19,7.65965963226482,129151488.082092,16861256.8028567,40553.4
"SW0-0063",0.0627086203220801,0.710607339273698,0.617052731881041,15,10.3155077944492,88388618.4319639,8568518.40871337,55211
"SW0-0188",-0.12214915468298,1.60453407214982,1.725285107912,41.5,12.6578895323809,49542157.7612587,3913935.0706547,41896.5
"SW0-0500",-0.101482968737484,1.25532023376316,1.33474326827177,20.7,7.65036215435978,98997834.9766892,12940280.8624259,61959.6
"SW0-0620",0.00659591930687153,1.98462051263366,1.9771622873526,22,8.16360554111515,95085636.7209105,11647505.0444343,59196.5
"SW0-0621",-0.0375335678998903,2.30420780378741,2.38113483927969,27,8.13314101336011,132215710.33567,16256414.356825,73281
"SW1-0115",0.184952001313225,3.04120838393296,2.584324462925,11,4.27359063332124,5449270.58784176,1275103.55001102,14483
"SW1-0118",NA,NA,NA,NA,NA,NA,NA,NA
"SW1-0197",-0.16380704080495,4.670709412241,5.00135565139004,60,10.3281996028898,222491450.178083,21542133.066041,122769
"SW1-0333",-0.189817856094365,1.31644863713243,1.52788810824359,12.5,3.95328758495257,6032911.17230442,1526049.15343562,13854.8
"SW1-0334",-0.028893876465886,3.44789226520704,3.49369680656517,35,7.53385607581085,25710530.6342297,3412665.48969248,37911.9
"SW1-0335",-0.139047911675254,2.42305656229965,2.71979261297869,7.9,1.83374745503933,2176798.44090683,1187076.46187852,18600.1
"SW1-0336",-0.0274998673572165,1.87936656823521,1.91624014187406,36,11.596833061523,10572486.2107886,911670.121894483,11906.4
"SW1-0338",-0.167047818771155,1.33975141710924,1.58512856981812,21.5,6.90817527754192,775043.349556298,112192.195249579,3645.03
"SW1-0339",0.0516734594473533,1.92835310325106,1.8338145752952,18.5,6.92618298411113,35284397.2300474,5094349.55891158,27954.3
"SW1-0341",0.0156061362102211,2.60650473124225,2.57999695757362,23,6.39046175670279,24163205.1545527,3781136.02341936,20436.4
"SW1-0344",0.00898198709592368,2.52213537243128,2.50827461582485,13,3.87444519106876,13747153.5347285,3548160.53829282,25036.6
"SW1-0345",-0.0146933745864852,2.06350789333893,2.09573543899546,10,3.33887441978015,10698448.2444082,3204208.03520746,25827.8
"SW1-0347",-0.256593838928372,1.81614906097986,2.04415304859596,62,13.4980745550178,710757626.511763,52656223.197963,188014
"SW2-0001",NA,NA,NA,NA,NA,NA,NA,NA
"SW2-0078",-0.0490770856574179,0.737311266562321,0.802124985198732,7.7,3.8276289824027,306239.273105355,80007.564608083,2740.59
"SW2-0085",-0.13227403895532,1.24221243145291,1.3378392884266,20.2,7.36285098909376,23973046.9424646,3255946.23305221,18526.5
"SW2-0087",-0.314010099735289,1.74821880721357,2.13485632780919,33.5,7.02489173419727,4267728.13645044,607515.147269114,7015.47
"SW2-0099",-0.186142700138962,1.68391832910579,1.94418201015923,21.9,5.7019022689895,9864206.58258613,1729985.20796013,22992.3
"SW2-0109",-0.0113710748884878,0.897731487398424,0.907484964730069,4.1,2.09083355397832,1153800.70119149,551837.662541864,8272.33
"SW2-0122",0.203552015630998,3.35954276507553,2.95110543245653,5,1.81680490385973,956382.116880508,526408.815194582,10781.1
"SW2-0129",-0.140422341985844,0.978724996048617,1.12501816994457,14.4,5.48697221324572,7285085.97511675,1327706.00833923,17453.7
"SW2-0132",0.102429450863741,1.60724983909928,1.48586398948906,17,8.19617444675672,54377652.377976,6634516.22842088,47821.4
"SW2-0139",NA,NA,NA,NA,NA,NA,NA,NA
"SW2-0160",0.0911745883885309,4.38802725597188,4.20508086967053,25,6.09320003698065,294273450.201966,48295386.400573,175883
"SW2-0700",-0.0130172110739218,1.78758093730486,1.81613208882803,8,2.8476014883724,253888.002471852,89158.5439565724,4288.13
"SW2-0777",-0.0546191927674463,1.5153004383716,1.61091783897693,7,2.77563751902523,1468497.05701254,529066.582702866,7997.07
"SW2-0778",0.0856184593837365,4.03573429216822,3.8088602250912,7,1.69022983093827,1082295.34570068,640324.366479727,9532.39
"SW2-0782",0.0161356127027218,2.72376761641627,2.69639779631315,3.4,0.953327743965572,195223.918617237,204781.534842531,6051.56
"SW2-0808",-0.100410290381808,1.35421135146671,1.49080609570439,7.5,2.69561944586313,293496.031939766,108878.882139756,2930
"SW2-0812",0.112060497025977,2.0083852208584,1.81798325544315,8,3.25760821348426,875653.939054366,268802.717106913,6972.56
"SW2-0813",-0.0880839144599586,1.72281039756209,1.88124240015019,14,4.34853775518499,2954849.86779893,679504.245829694,13171.2
"SW2-0826",-0.170274136267357,0.884582744069323,1.11260491402128,8.5,3.09476992883851,515753.663187467,166653.313508521,3929.56
"SW2-0829",0.0213277565349215,2.10521620968198,2.08336605555443,28,9.47793082944416,20239563.0460727,2135441.1010467,35591.3
"SW2-0830",-0.00800088771976482,2.36972014225423,2.3816986196392,32,9.87365028669294,74049146.852102,7499672.83648891,33351
"SW2-0831",-0.209995399704277,1.70289705892376,2.02474632770233,28,6.98588045914503,5288357.30204583,757006.555290104,10804.7
"SW2-0832",0.0788604933383106,2.02687993921885,1.92278075270455,8.5,3.12388266643696,1381066.61548989,442099.38815183,6703.89
"SW2-0846",0.066539603414545,1.19571799940491,1.10417531265291,5.5,2.90335546037045,1164398.1698751,401052.570299654,7220.88
"SW2-0847",0.0122148093591019,1.5499020136214,1.52539238576232,10,4.07096156308761,2015216.38444956,495022.208689468,14962.8
"SW2-0849",-0.0131441439755179,0.816854402732882,0.836276767647447,9,4.75472820014809,1250491.86582892,262999.652806646,6404.21
"SW2-0853",-0.0777720876460822,2.20384506177354,2.31574156072486,65,17.2273248203953,306374636.397843,17784225.9080835,61993
"SW2-0854",-0.0206831885309982,1.96302025299677,2.00022203948598,35,11.5579427202735,34212994.0354726,2960128.36051354,17884.9
"SW2-0855",-0.107784036659079,2.12851257362823,2.29300975973534,28,7.48248815780679,23311853.6313545,3115521.62057648,19580.6
"SW2-0856",-0.00190170620063296,2.02667467044338,2.02904117537008,29.5,9.95068024024467,11536509.4508787,1159368.92477162,25638
"SW2-0857",-0.0730921812168988,0.61773203336949,0.69487722618767,47,24.1164418391934,5142284.78831197,213227.341852514,3899.3
"SW2-0858",-0.0411508858692464,1.58126195283123,1.64605633579135,11.3,4.04582364917097,627125.300228078,155005.594560846,5422.44
"SW2-0859",-0.050904458804852,2.41262213817636,2.48784080411062,13.5,3.71181167668439,1912405.66709609,515221.631288245,13197.8
"SW2-0860",-0.0831439511666978,1.44049422135781,1.49915131037153,6.1,2.18864017205038,311176.132504187,142177.840139281,5200.17
"SW2-0861",0.0719752413041315,1.83574718266303,1.77387879046894,6.2,2.61947837546715,372655.51325779,142263.25238945,6430.98
"SW2-0862",0.0162532552006312,1.36993318430886,1.33840940848702,7.9,3.56692907243309,710387.072364157,199159.293032868,5847.07
"SW2-0891",-0.0359362412898238,1.97517398182236,2.03039582335727,20,6.74918066785843,5542503.68760659,821211.338140881,8651.43
"SW2-0892",0.0866352581623001,2.08069048161083,1.94606450126601,21.8,8.6139811470226,4734146.15615788,549588.636816813,6558.02
"SW2-0893",-0.129117259979041,1.45580403532275,1.78188209204902,3,0.935543229701673,516975.960431949,552594.411480913,5772.41
"SW2-0894",-0.105298021959189,1.31348025911029,1.47780795413576,7,2.41948465150913,333060.714605976,137657.709214329,3989.69
"SW2-0895",-0.100045462868855,1.04271634332383,1.23129945628476,12,4.63268744758485,875056.782004115,188887.506853135,5391.04
"SW2-0896",-0.058685324824523,0.500931534292539,0.587647549880516,9,5.07382333502095,512855.614523243,101078.729127869,3700.65
"SW2-0897",0.0578631982440067,2.31550044070784,2.19939503013588,5,1.81330921816167,285645.71523394,157527.305532328,5092.58
