"lakeid","d1","d2","dm","area","fractionalarea","cumsumarea","cumsumfraction","intervals.string","oneminusZdmdivZmaxdm"
"SW0-0001",0,5,2.5,2234967.18129266,0.263965453272674,8466892.7451804,1,"0-5",0.941176470588235
"SW0-0001",5,10,7.5,1761182.92459631,0.208008176978363,6231925.56388774,0.736034546727326,"5-10",0.823529411764706
"SW0-0001",10,15,12.5,1760200.6139783,0.207892159137159,4470742.63929144,0.528026369748962,"10-15",0.705882352941176
"SW0-0001",15,20,17.5,1282851.68672285,0.151513870003029,2710542.02531313,0.320134210611803,"15-20",0.588235294117647
"SW0-0001",20,25,22.5,764887.239296851,0.0903386002772087,1427690.33859028,0.168620340608774,"20-25",0.470588235294118
"SW0-0001",25,30,27.5,416284.313437029,0.0491661257518574,662803.099293427,0.0782817403315654,"25-30",0.352941176470588
"SW0-0001",30,35,32.5,137977.372273742,0.0162961048906971,246518.785856398,0.029115614579708,"30-35",0.235294117647059
"SW0-0001",35,40,37.5,77462.1913386753,0.00914883342330857,108541.413582656,0.0128195096890109,"35-40",0.117647058823529
"SW0-0001",40,45,42.5,31079.2222439808,0.00367067626570231,31079.2222439808,0.00367067626570231,"40-45",0
"SW0-0039",0,3,1.5,4633152.71847604,0.274780982974595,16861256.8028567,1,"0-3",0.911764705882353
"SW0-0039",3,6,4.5,3079208.33746385,0.182620333315969,12228104.0843807,0.725219017025405,"3-6",0.735294117647059
"SW0-0039",6,9,7.5,2952148.5918299,0.175084729824513,9148895.74691682,0.542598683709436,"6-9",0.558823529411765
"SW0-0039",9,15,12,3828098.91788227,0.227035206369296,6196747.15508692,0.367513953884923,"9-15",0.294117647058823
"SW0-0039",15,19,17,2368648.23720466,0.140478747515627,2368648.23720466,0.140478747515627,"15-19",0
"SW0-0063",0,5,2.5,1036928.59621038,0.121016090151119,8568518.40871337,1,"0-5",0.821428571428571
"SW0-0063",5,10,7.5,1461224.37799883,0.170534076989659,7531589.81250299,0.878983909848881,"5-10",0.464285714285714
"SW0-0063",10,13,11.5,4059200.7906446,0.473734267352076,6070365.43450416,0.708449832859222,"10-13",0.178571428571429
"SW0-0063",13,15,14,2011164.64385956,0.234715565507147,2011164.64385956,0.234715565507147,"13-15",0
"SW0-0188",0,5,2.5,1237751.73848146,0.311100109413563,3913935.0706547,0.983739784693904,"0-5",0.938650306748466
"SW0-0188",5,10,7.5,669321.326396848,0.168229162118046,2676183.33217323,0.672639675280341,"5-10",0.815950920245399
"SW0-0188",10,20,15,1147211.61065186,0.288343491265997,2006862.00577639,0.504410513162295,"10-20",0.631901840490798
"SW0-0188",20,30,25,596823.634064106,0.150007382001932,859650.395124531,0.216067021896298,"20-30",0.386503067484663
"SW0-0188",30,40,35,245406.444785072,0.0616811671111808,262826.761060426,0.066059639894366,"30-40",0.141104294478528
"SW0-0188",40,41.5,40.75,17420.3162753534,0.00437847278318526,17420.3162753534,0.00437847278318526,"40-41.5",0
"SW0-0500",0,10,5,9593233.35963466,0.741346610759438,12940280.8624259,1,"0-10",0.754299754299754
